
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,ID,
2.00273,4.84375,12.8945,um,Surface,BoundingBoxOO Length,1,2558,
2.00357,5.44531,6.54492,um,Surface,BoundingBoxOO Length,1,2559,
2.00266,6.375,11.2344,um,Surface,BoundingBoxOO Length,1,2560,
2.00043,17.6797,24.5039,um,Surface,BoundingBoxOO Length,1,2561,
2.00291,7.19141,12.3652,um,Surface,BoundingBoxOO Length,1,2562,
2.00239,9.16797,15.9453,um,Surface,BoundingBoxOO Length,1,2563,
2.02859,3.49609,5.04688,um,Surface,BoundingBoxOO Length,1,2564,
2.0005,10.2109,10.2813,um,Surface,BoundingBoxOO Length,1,2565,
2.00209,3.78516,4.71875,um,Surface,BoundingBoxOO Length,1,2566,
2.00872,5.19922,7.85156,um,Surface,BoundingBoxOO Length,1,2567,
2.0002,13.7305,17.1719,um,Surface,BoundingBoxOO Length,1,2568,
2.00541,5.03711,6.11719,um,Surface,BoundingBoxOO Length,1,2569,
2.00229,4.79297,6.60352,um,Surface,BoundingBoxOO Length,1,2570,
2.00403,4.75977,6.23047,um,Surface,BoundingBoxOO Length,1,2571,
2.00418,7.44141,9.80078,um,Surface,BoundingBoxOO Length,1,2572,
2.00152,9.24609,19.9531,um,Surface,BoundingBoxOO Length,1,2573,
2.00704,4.14453,8.26953,um,Surface,BoundingBoxOO Length,1,2574,
2.00123,14.0195,17.2168,um,Surface,BoundingBoxOO Length,1,2575,
2.00422,9.78516,18.5469,um,Surface,BoundingBoxOO Length,1,2576,
2.00706,5.74219,7.01953,um,Surface,BoundingBoxOO Length,1,2577,
2.00462,6.72266,7.07813,um,Surface,BoundingBoxOO Length,1,2578,
2.0017,14.4883,24.6914,um,Surface,BoundingBoxOO Length,1,2579,
2.0011,19.6563,22.8398,um,Surface,BoundingBoxOO Length,1,2580,
2.00175,16.6211,30.2344,um,Surface,BoundingBoxOO Length,1,2581,
2.00581,3.60938,4.30664,um,Surface,BoundingBoxOO Length,1,2582,
2.00264,6.74414,10.4023,um,Surface,BoundingBoxOO Length,1,2583,
2.00357,5.88281,12.5977,um,Surface,BoundingBoxOO Length,1,2584,
2.01556,3.6875,4.6875,um,Surface,BoundingBoxOO Length,1,2585,
2.00051,3.49609,4.44922,um,Surface,BoundingBoxOO Length,1,2586,
2.00129,9.66406,20.8984,um,Surface,BoundingBoxOO Length,1,2587,
2.03864,3.03125,4.77344,um,Surface,BoundingBoxOO Length,1,2588,
2.00333,10.3164,14.7031,um,Surface,BoundingBoxOO Length,1,2589,
2.0036,6.28906,9.94531,um,Surface,BoundingBoxOO Length,1,2590,
2.00252,7.64063,10.4414,um,Surface,BoundingBoxOO Length,1,2591,
2.00843,4.07422,7.18359,um,Surface,BoundingBoxOO Length,1,2592,
2.00505,4.76953,7.78516,um,Surface,BoundingBoxOO Length,1,2593,
2.01099,5.55664,7.53125,um,Surface,BoundingBoxOO Length,1,2594,
2.00372,7.78125,9.67188,um,Surface,BoundingBoxOO Length,1,2595,
2.01574,3.21875,3.54883,um,Surface,BoundingBoxOO Length,1,2596,
2.00173,6.78125,21.1953,um,Surface,BoundingBoxOO Length,1,2597,
2.00136,5.60156,6.90625,um,Surface,BoundingBoxOO Length,1,2598,
2.0078,6.27734,7.42773,um,Surface,BoundingBoxOO Length,1,2599,
2.0061,4.08203,6.05469,um,Surface,BoundingBoxOO Length,1,2600,
2.02054,3.42383,3.77344,um,Surface,BoundingBoxOO Length,1,2601,
2.00383,6.11328,11.0859,um,Surface,BoundingBoxOO Length,1,2602,
2.00069,7.78125,10.3242,um,Surface,BoundingBoxOO Length,1,2603,
2.00706,4.89063,9.1582,um,Surface,BoundingBoxOO Length,1,2604,
2.00151,14.1367,33.5371,um,Surface,BoundingBoxOO Length,1,2605,
2.00205,14.6211,16.6582,um,Surface,BoundingBoxOO Length,1,2606,
2.02484,3.17969,3.96094,um,Surface,BoundingBoxOO Length,1,2607,
2.00771,3.30859,7.67578,um,Surface,BoundingBoxOO Length,1,2608,
2.00131,11.1055,17.5703,um,Surface,BoundingBoxOO Length,1,2609,
2.00172,5.61914,11.75,um,Surface,BoundingBoxOO Length,1,2610,
2.00728,3.07422,4.25,um,Surface,BoundingBoxOO Length,1,2611,
2.00947,3.70313,4.28516,um,Surface,BoundingBoxOO Length,1,2612,
2.02499,3.10547,4.61719,um,Surface,BoundingBoxOO Length,1,2613,
2.00108,9.11328,14.4375,um,Surface,BoundingBoxOO Length,1,2614,
2.23438,2.00807,5.14063,um,Surface,BoundingBoxOO Length,1,2615,
2.00031,14.6719,23.2227,um,Surface,BoundingBoxOO Length,1,2616,
2.00251,6.10547,8.5,um,Surface,BoundingBoxOO Length,1,2617,
2.00373,9.01172,11.5234,um,Surface,BoundingBoxOO Length,1,2618,
2.00233,5.09961,6.44141,um,Surface,BoundingBoxOO Length,1,2619,
2.00977,5.24609,5.46484,um,Surface,BoundingBoxOO Length,1,2620,
2.00084,22.9395,62.5938,um,Surface,BoundingBoxOO Length,1,2621,
2.00352,6.48438,13.8418,um,Surface,BoundingBoxOO Length,1,2622,
2.00008,9.64844,11.4355,um,Surface,BoundingBoxOO Length,1,2623,
2.00243,10.7461,13.6953,um,Surface,BoundingBoxOO Length,1,2624,
2.00143,7.36914,15.4609,um,Surface,BoundingBoxOO Length,1,2625,
2.00258,6.65234,8.90625,um,Surface,BoundingBoxOO Length,1,2626,
2.01418,4,4.49219,um,Surface,BoundingBoxOO Length,1,2627,
2.00301,10.1016,17.5703,um,Surface,BoundingBoxOO Length,1,2628,
2.00972,5.01172,4.84375,um,Surface,BoundingBoxOO Length,1,2629,
2.00325,11.4961,15.1914,um,Surface,BoundingBoxOO Length,1,2630,
2.00167,6.85547,12.2227,um,Surface,BoundingBoxOO Length,1,2631,
2.00028,19.6172,30.1016,um,Surface,BoundingBoxOO Length,1,2632,
2.0057,5.55469,6.3457,um,Surface,BoundingBoxOO Length,1,2633,
2.00117,10.0313,14.3906,um,Surface,BoundingBoxOO Length,1,2634,
2.00296,9.46094,13.1855,um,Surface,BoundingBoxOO Length,1,2635,
2.00132,4.05078,8.23828,um,Surface,BoundingBoxOO Length,1,2636,
2.00555,5.67969,9.21094,um,Surface,BoundingBoxOO Length,1,2637,
2.00076,18.8945,21.1992,um,Surface,BoundingBoxOO Length,1,2638,
2.00131,8.66406,12.5273,um,Surface,BoundingBoxOO Length,1,2639,
2.00159,7.95313,14.0879,um,Surface,BoundingBoxOO Length,1,2640,
2.00151,14.3848,17.125,um,Surface,BoundingBoxOO Length,1,2641,
2.00643,3.73828,6.875,um,Surface,BoundingBoxOO Length,1,2642,
2.00117,8.29297,12.7461,um,Surface,BoundingBoxOO Length,1,2643,
2.00041,40.6328,57.4941,um,Surface,BoundingBoxOO Length,1,2644,
2.01982,3.51563,5.76953,um,Surface,BoundingBoxOO Length,1,2645,
2.00305,5.41016,6.79883,um,Surface,BoundingBoxOO Length,1,2646,
2.00316,6.76563,8.78125,um,Surface,BoundingBoxOO Length,1,2647,
2.00091,5.32031,10.4063,um,Surface,BoundingBoxOO Length,1,2648,
2.00282,7.01953,13.0195,um,Surface,BoundingBoxOO Length,1,2649,
2.02629,3.40625,5.90625,um,Surface,BoundingBoxOO Length,1,2650,
2.00197,6.16797,11.4258,um,Surface,BoundingBoxOO Length,1,2651,
2.00271,6.18945,9.25391,um,Surface,BoundingBoxOO Length,1,2652,
2.00298,5.72656,9.98828,um,Surface,BoundingBoxOO Length,1,2653,
2.00531,5.84766,6.12109,um,Surface,BoundingBoxOO Length,1,2654,
2.00085,5.99023,10.4609,um,Surface,BoundingBoxOO Length,1,2655,
2.00101,11.8086,28.332,um,Surface,BoundingBoxOO Length,1,2656,
2.00352,4.54688,6.125,um,Surface,BoundingBoxOO Length,1,2657,
2.0043,5.09375,8.02734,um,Surface,BoundingBoxOO Length,1,2658,
2.00126,10.9863,15.1016,um,Surface,BoundingBoxOO Length,1,2659,
