
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
572.078,um,Surface,Image 1,1,2668,
604.77,um,Surface,Image 1,1,2669,
567.305,um,Surface,Image 1,1,2670,
387.523,um,Surface,Image 1,1,2671,
268.5,um,Surface,Image 1,1,2672,
282,um,Surface,Image 1,1,2673,
573.43,um,Surface,Image 1,1,2674,
539.633,um,Surface,Image 1,1,2675,
571.484,um,Surface,Image 1,1,2676,
416.344,um,Surface,Image 1,1,2677,
412.551,um,Surface,Image 1,1,2678,
286.844,um,Surface,Image 1,1,2679,
357.609,um,Surface,Image 1,1,2680,
459.512,um,Surface,Image 1,1,2681,
385.789,um,Surface,Image 1,1,2682,
230.328,um,Surface,Image 1,1,2683,
601.898,um,Surface,Image 1,1,2684,
403.25,um,Surface,Image 1,1,2685,
550.195,um,Surface,Image 1,1,2686,
402.98,um,Surface,Image 1,1,2687,
362.301,um,Surface,Image 1,1,2688,
528.133,um,Surface,Image 1,1,2689,
371.203,um,Surface,Image 1,1,2690,
211.719,um,Surface,Image 1,1,2691,
155.922,um,Surface,Image 1,1,2692,
356.906,um,Surface,Image 1,1,2693,
211.59,um,Surface,Image 1,1,2694,
390.992,um,Surface,Image 1,1,2695,
392.941,um,Surface,Image 1,1,2696,
381.375,um,Surface,Image 1,1,2697,
383.742,um,Surface,Image 1,1,2698,
336.891,um,Surface,Image 1,1,2699,
625.871,um,Surface,Image 1,1,2700,
562.672,um,Surface,Image 1,1,2701,
281.648,um,Surface,Image 1,1,2702,
506.984,um,Surface,Image 1,1,2703,
605.672,um,Surface,Image 1,1,2704,
306.227,um,Surface,Image 1,1,2705,
622.434,um,Surface,Image 1,1,2706,
374.641,um,Surface,Image 1,1,2707,
389.305,um,Surface,Image 1,1,2708,
156.855,um,Surface,Image 1,1,2709,
526.93,um,Surface,Image 1,1,2710,
392.563,um,Surface,Image 1,1,2711,
606.84,um,Surface,Image 1,1,2712,
524.977,um,Surface,Image 1,1,2713,
239.344,um,Surface,Image 1,1,2714,
505.512,um,Surface,Image 1,1,2715,
297.117,um,Surface,Image 1,1,2716,
536.508,um,Surface,Image 1,1,2717,
409.453,um,Surface,Image 1,1,2718,
299.527,um,Surface,Image 1,1,2719,
290.422,um,Surface,Image 1,1,2720,
304.875,um,Surface,Image 1,1,2721,
338.547,um,Surface,Image 1,1,2722,
501.445,um,Surface,Image 1,1,2723,
601.32,um,Surface,Image 1,1,2724,
512.176,um,Surface,Image 1,1,2725,
596.984,um,Surface,Image 1,1,2726,
511.172,um,Surface,Image 1,1,2727,
451.914,um,Surface,Image 1,1,2728,
593.656,um,Surface,Image 1,1,2729,
499.32,um,Surface,Image 1,1,2730,
493.586,um,Surface,Image 1,1,2731,
481.879,um,Surface,Image 1,1,2732,
499.844,um,Surface,Image 1,1,2733,
494.688,um,Surface,Image 1,1,2734,
421.906,um,Surface,Image 1,1,2735,
474.32,um,Surface,Image 1,1,2736,
360.988,um,Surface,Image 1,1,2737,
551.055,um,Surface,Image 1,1,2738,
444.313,um,Surface,Image 1,1,2739,
324.758,um,Surface,Image 1,1,2740,
534.523,um,Surface,Image 1,1,2741,
377.484,um,Surface,Image 1,1,2742,
329.039,um,Surface,Image 1,1,2743,
368.563,um,Surface,Image 1,1,2744,
474.695,um,Surface,Image 1,1,2745,
478.348,um,Surface,Image 1,1,2746,
320.527,um,Surface,Image 1,1,2747,
344.992,um,Surface,Image 1,1,2748,
340.805,um,Surface,Image 1,1,2749,
329.668,um,Surface,Image 1,1,2750,
472.609,um,Surface,Image 1,1,2751,
333.613,um,Surface,Image 1,1,2752,
316.359,um,Surface,Image 1,1,2753,
322.039,um,Surface,Image 1,1,2754,
454.109,um,Surface,Image 1,1,2755,
461.359,um,Surface,Image 1,1,2756,
618.582,um,Surface,Image 1,1,2757,
393.961,um,Surface,Image 1,1,2758,
408.289,um,Surface,Image 1,1,2759,
423.711,um,Surface,Image 1,1,2760,
419.059,um,Surface,Image 1,1,2761,
609.953,um,Surface,Image 1,1,2762,
536.426,um,Surface,Image 1,1,2763,
514.516,um,Surface,Image 1,1,2764,
359.449,um,Surface,Image 1,1,2765,
360.484,um,Surface,Image 1,1,2766,
288.719,um,Surface,Image 1,1,2767,
388.66,um,Surface,Image 1,1,2768,
367.461,um,Surface,Image 1,1,2769,
302.461,um,Surface,Image 1,1,2770,
307.156,um,Surface,Image 1,1,2771,
304.211,um,Surface,Image 1,1,2772,
356.25,um,Surface,Image 1,1,2773,
460.496,um,Surface,Image 1,1,2774,
431.563,um,Surface,Image 1,1,2775,
461.445,um,Surface,Image 1,1,2776,
609.07,um,Surface,Image 1,1,2777,
535.25,um,Surface,Image 1,1,2778,
525.383,um,Surface,Image 1,1,2779,
465.578,um,Surface,Image 1,1,2780,
471.438,um,Surface,Image 1,1,2781,
512.129,um,Surface,Image 1,1,2782,
495.645,um,Surface,Image 1,1,2783,
363.586,um,Surface,Image 1,1,2784,
326.203,um,Surface,Image 1,1,2785,
433.438,um,Surface,Image 1,1,2786,
440.672,um,Surface,Image 1,1,2787,
352.516,um,Surface,Image 1,1,2788,
424.078,um,Surface,Image 1,1,2789,
480.031,um,Surface,Image 1,1,2790,
316.5,um,Surface,Image 1,1,2791,
401.609,um,Surface,Image 1,1,2792,
360.922,um,Surface,Image 1,1,2793,
469.992,um,Surface,Image 1,1,2794,
343.305,um,Surface,Image 1,1,2795,
369.582,um,Surface,Image 1,1,2796,
415.809,um,Surface,Image 1,1,2797,
556.945,um,Surface,Image 1,1,2798,
604.031,um,Surface,Image 1,1,2799,
393.188,um,Surface,Image 1,1,2800,
577.852,um,Surface,Image 1,1,2801,
532.898,um,Surface,Image 1,1,2802,
567,um,Surface,Image 1,1,2803,
332.672,um,Surface,Image 1,1,2804,
535.813,um,Surface,Image 1,1,2805,
328.102,um,Surface,Image 1,1,2806,
303.641,um,Surface,Image 1,1,2807,
524.094,um,Surface,Image 1,1,2808,
369.766,um,Surface,Image 1,1,2809,
317.457,um,Surface,Image 1,1,2810,
418.43,um,Surface,Image 1,1,2811,
340.961,um,Surface,Image 1,1,2812,
353.23,um,Surface,Image 1,1,2813,
511.133,um,Surface,Image 1,1,2814,
543.797,um,Surface,Image 1,1,2815,
389.484,um,Surface,Image 1,1,2816,
494.133,um,Surface,Image 1,1,2817,
404.176,um,Surface,Image 1,1,2818,
396.102,um,Surface,Image 1,1,2819,
321.828,um,Surface,Image 1,1,2820,
389.176,um,Surface,Image 1,1,2821,
446.797,um,Surface,Image 1,1,2822,
535.375,um,Surface,Image 1,1,2823,
573.484,um,Surface,Image 1,1,2824,
434.703,um,Surface,Image 1,1,2825,
448.523,um,Surface,Image 1,1,2826,
486.832,um,Surface,Image 1,1,2827,
430.367,um,Surface,Image 1,1,2828,
519.184,um,Surface,Image 1,1,2829,
307.141,um,Surface,Image 1,1,2830,
492.836,um,Surface,Image 1,1,2831,
512.824,um,Surface,Image 1,1,2832,
567.84,um,Surface,Image 1,1,2833,
408.367,um,Surface,Image 1,1,2834,
584.695,um,Surface,Image 1,1,2835,
429.703,um,Surface,Image 1,1,2836,
487.816,um,Surface,Image 1,1,2837,
581.059,um,Surface,Image 1,1,2838,
555.805,um,Surface,Image 1,1,2839,
334.094,um,Surface,Image 1,1,2840,
437.871,um,Surface,Image 1,1,2841,
525.898,um,Surface,Image 1,1,2842,
425.941,um,Surface,Image 1,1,2843,
605.855,um,Surface,Image 1,1,2844,
565.898,um,Surface,Image 1,1,2845,
509.32,um,Surface,Image 1,1,2846,
290.289,um,Surface,Image 1,1,2847,
387.855,um,Surface,Image 1,1,2848,
418.305,um,Surface,Image 1,1,2849,
327.328,um,Surface,Image 1,1,2850,
467.168,um,Surface,Image 1,1,2851,
487.902,um,Surface,Image 1,1,2852,
621.414,um,Surface,Image 1,1,2853,
601.375,um,Surface,Image 1,1,2854,
374.328,um,Surface,Image 1,1,2855,
386.211,um,Surface,Image 1,1,2856,
287.285,um,Surface,Image 1,1,2857,
508.688,um,Surface,Image 1,1,2858,
294.75,um,Surface,Image 1,1,2859,
598.477,um,Surface,Image 1,1,2860,
273.816,um,Surface,Image 1,1,2861,
465.406,um,Surface,Image 1,1,2862,
407.684,um,Surface,Image 1,1,2863,
349.047,um,Surface,Image 1,1,2864,
587.352,um,Surface,Image 1,1,2865,
626.922,um,Surface,Image 1,1,2866,
503.125,um,Surface,Image 1,1,2867,
453.43,um,Surface,Image 1,1,2868,
387.285,um,Surface,Image 1,1,2869,
587.711,um,Surface,Image 1,1,2870,
605.051,um,Surface,Image 1,1,2871,
396.867,um,Surface,Image 1,1,2872,
516.563,um,Surface,Image 1,1,2873,
397.148,um,Surface,Image 1,1,2874,
614.484,um,Surface,Image 1,1,2875,
624.18,um,Surface,Image 1,1,2876,
621.102,um,Surface,Image 1,1,2877,
540.25,um,Surface,Image 1,1,2878,
617.688,um,Surface,Image 1,1,2879,
462.922,um,Surface,Image 1,1,2880,
610.969,um,Surface,Image 1,1,2881,
434.094,um,Surface,Image 1,1,2882,
541.063,um,Surface,Image 1,1,2883,
477.109,um,Surface,Image 1,1,2884,
513.914,um,Surface,Image 1,1,2885,
587.531,um,Surface,Image 1,1,2886,
459.047,um,Surface,Image 1,1,2887,
499.781,um,Surface,Image 1,1,2888,
286.074,um,Surface,Image 1,1,2889,
488.875,um,Surface,Image 1,1,2890,
451.168,um,Surface,Image 1,1,2891,
472.234,um,Surface,Image 1,1,2892,
522.609,um,Surface,Image 1,1,2893,
610.02,um,Surface,Image 1,1,2894,
429.828,um,Surface,Image 1,1,2895,
607.813,um,Surface,Image 1,1,2896,
620.695,um,Surface,Image 1,1,2897,
566.383,um,Surface,Image 1,1,2898,
419.859,um,Surface,Image 1,1,2899,
596.309,um,Surface,Image 1,1,2900,
529.859,um,Surface,Image 1,1,2901,
288.637,um,Surface,Image 1,1,2902,
482.68,um,Surface,Image 1,1,2903,
546.047,um,Surface,Image 1,1,2904,
215.918,um,Surface,Image 1,1,2905,
488.648,um,Surface,Image 1,1,2906,
503.18,um,Surface,Image 1,1,2907,
560.508,um,Surface,Image 1,1,2908,
248.188,um,Surface,Image 1,1,2909,
519.145,um,Surface,Image 1,1,2910,
592.539,um,Surface,Image 1,1,2911,
523.73,um,Surface,Image 1,1,2912,
206.633,um,Surface,Image 1,1,2913,
223.84,um,Surface,Image 1,1,2914,
341.914,um,Surface,Image 1,1,2915,
600.441,um,Surface,Image 1,1,2916,
259.82,um,Surface,Image 1,1,2917,
274.844,um,Surface,Image 1,1,2918,
532.156,um,Surface,Image 1,1,2919,
249.922,um,Surface,Image 1,1,2920,
238.219,um,Surface,Image 1,1,2921,
513.254,um,Surface,Image 1,1,2922,
570.141,um,Surface,Image 1,1,2923,
190.984,um,Surface,Image 1,1,2924,
542.719,um,Surface,Image 1,1,2925,
589.996,um,Surface,Image 1,1,2926,
172.688,um,Surface,Image 1,1,2927,
617.492,um,Surface,Image 1,1,2928,
583.016,um,Surface,Image 1,1,2929,
514.488,um,Surface,Image 1,1,2930,
300.637,um,Surface,Image 1,1,2931,
514.047,um,Surface,Image 1,1,2932,
267.625,um,Surface,Image 1,1,2933,
498.617,um,Surface,Image 1,1,2934,
294.145,um,Surface,Image 1,1,2935,
594.66,um,Surface,Image 1,1,2936,
612.633,um,Surface,Image 1,1,2937,
517.117,um,Surface,Image 1,1,2938,
566.289,um,Surface,Image 1,1,2939,
620.258,um,Surface,Image 1,1,2940,
225.633,um,Surface,Image 1,1,2941,
526.289,um,Surface,Image 1,1,2942,
343.156,um,Surface,Image 1,1,2943,
612.805,um,Surface,Image 1,1,2944,
335.969,um,Surface,Image 1,1,2945,
603.883,um,Surface,Image 1,1,2946,
278.234,um,Surface,Image 1,1,2947,
492.18,um,Surface,Image 1,1,2948,
349.297,um,Surface,Image 1,1,2949,
331.672,um,Surface,Image 1,1,2950,
617.082,um,Surface,Image 1,1,2951,
497.355,um,Surface,Image 1,1,2952,
590.641,um,Surface,Image 1,1,2953,
306.672,um,Surface,Image 1,1,2954,
244.148,um,Surface,Image 1,1,2955,
513.91,um,Surface,Image 1,1,2956,
319.605,um,Surface,Image 1,1,2957,
203.031,um,Surface,Image 1,1,2958,
254.68,um,Surface,Image 1,1,2959,
406.363,um,Surface,Image 1,1,2960,
433.043,um,Surface,Image 1,1,2961,
598.836,um,Surface,Image 1,1,2962,
285.047,um,Surface,Image 1,1,2963,
445.781,um,Surface,Image 1,1,2964,
320.703,um,Surface,Image 1,1,2965,
545.188,um,Surface,Image 1,1,2966,
319.422,um,Surface,Image 1,1,2967,
343.438,um,Surface,Image 1,1,2968,
514.281,um,Surface,Image 1,1,2969,
354.105,um,Surface,Image 1,1,2970,
522.07,um,Surface,Image 1,1,2971,
522.777,um,Surface,Image 1,1,2972,
374.488,um,Surface,Image 1,1,2973,
223.039,um,Surface,Image 1,1,2974,
468.508,um,Surface,Image 1,1,2975,
260.305,um,Surface,Image 1,1,2976,
396.48,um,Surface,Image 1,1,2977,
378.57,um,Surface,Image 1,1,2978,
560.25,um,Surface,Image 1,1,2979,
271.379,um,Surface,Image 1,1,2980,
272.383,um,Surface,Image 1,1,2981,
299.117,um,Surface,Image 1,1,2982,
344.516,um,Surface,Image 1,1,2983,
309.555,um,Surface,Image 1,1,2984,
346.484,um,Surface,Image 1,1,2985,
395.555,um,Surface,Image 1,1,2986,
285.938,um,Surface,Image 1,1,2987,
465.578,um,Surface,Image 1,1,2988,
487.102,um,Surface,Image 1,1,2989,
337.484,um,Surface,Image 1,1,2990,
622.074,um,Surface,Image 1,1,2991,
389.938,um,Surface,Image 1,1,2992,
592.563,um,Surface,Image 1,1,2993,
621.789,um,Surface,Image 1,1,2994,
469.301,um,Surface,Image 1,1,2995,
478.945,um,Surface,Image 1,1,2996,
319.52,um,Surface,Image 1,1,2997,
318.816,um,Surface,Image 1,1,2998,
227.699,um,Surface,Image 1,1,2999,
485.68,um,Surface,Image 1,1,3000,
320.469,um,Surface,Image 1,1,3001,
260.219,um,Surface,Image 1,1,3002,
374.633,um,Surface,Image 1,1,3003,
252.746,um,Surface,Image 1,1,3004,
507.039,um,Surface,Image 1,1,3005,
285.5,um,Surface,Image 1,1,3006,
295.141,um,Surface,Image 1,1,3007,
266.148,um,Surface,Image 1,1,3008,
376.055,um,Surface,Image 1,1,3009,
292.266,um,Surface,Image 1,1,3010,
609.258,um,Surface,Image 1,1,3011,
537.84,um,Surface,Image 1,1,3012,
374.043,um,Surface,Image 1,1,3013,
284.891,um,Surface,Image 1,1,3014,
543.133,um,Surface,Image 1,1,3015,
482.113,um,Surface,Image 1,1,3016,
478.742,um,Surface,Image 1,1,3017,
289.703,um,Surface,Image 1,1,3018,
593.602,um,Surface,Image 1,1,3019,
564.652,um,Surface,Image 1,1,3020,
296.18,um,Surface,Image 1,1,3021,
350.715,um,Surface,Image 1,1,3022,
383.879,um,Surface,Image 1,1,3023,
345.328,um,Surface,Image 1,1,3024,
474.141,um,Surface,Image 1,1,3025,
449.738,um,Surface,Image 1,1,3026,
504.016,um,Surface,Image 1,1,3027,
468.672,um,Surface,Image 1,1,3028,
286.875,um,Surface,Image 1,1,3029,
581.582,um,Surface,Image 1,1,3030,
605.727,um,Surface,Image 1,1,3031,
596.102,um,Surface,Image 1,1,3032,
604.914,um,Surface,Image 1,1,3033,
277.25,um,Surface,Image 1,1,3034,
327.805,um,Surface,Image 1,1,3035,
621.043,um,Surface,Image 1,1,3036,
511.043,um,Surface,Image 1,1,3037,
300.824,um,Surface,Image 1,1,3038,
383.266,um,Surface,Image 1,1,3039,
517.438,um,Surface,Image 1,1,3040,
430.773,um,Surface,Image 1,1,3041,
302.113,um,Surface,Image 1,1,3042,
468.902,um,Surface,Image 1,1,3043,
311.09,um,Surface,Image 1,1,3044,
335.41,um,Surface,Image 1,1,3045,
530.332,um,Surface,Image 1,1,3046,
265.848,um,Surface,Image 1,1,3047,
530.992,um,Surface,Image 1,1,3048,
461,um,Surface,Image 1,1,3049,
332.57,um,Surface,Image 1,1,3050,
602.719,um,Surface,Image 1,1,3051,
417.867,um,Surface,Image 1,1,3052,
506.398,um,Surface,Image 1,1,3053,
259.133,um,Surface,Image 1,1,3054,
457.008,um,Surface,Image 1,1,3055,
517.758,um,Surface,Image 1,1,3056,
336.438,um,Surface,Image 1,1,3057,
557.656,um,Surface,Image 1,1,3058,
520.719,um,Surface,Image 1,1,3059,
244.332,um,Surface,Image 1,1,3060,
337.461,um,Surface,Image 1,1,3061,
465.648,um,Surface,Image 1,1,3062,
272.586,um,Surface,Image 1,1,3063,
549.977,um,Surface,Image 1,1,3064,
478.93,um,Surface,Image 1,1,3065,
353.57,um,Surface,Image 1,1,3066,
504.25,um,Surface,Image 1,1,3067,
428.523,um,Surface,Image 1,1,3068,
438.148,um,Surface,Image 1,1,3069,
242.438,um,Surface,Image 1,1,3070,
338.211,um,Surface,Image 1,1,3071,
581.063,um,Surface,Image 1,1,3072,
511.082,um,Surface,Image 1,1,3073,
521.805,um,Surface,Image 1,1,3074,
487.664,um,Surface,Image 1,1,3075,
245.797,um,Surface,Image 1,1,3076,
289.301,um,Surface,Image 1,1,3077,
454.766,um,Surface,Image 1,1,3078,
484.965,um,Surface,Image 1,1,3079,
459.773,um,Surface,Image 1,1,3080,
