
Intensity Max Ch=5 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
207,,Surface,5,Image 1,1,2678,
176,,Surface,5,Image 1,1,2679,
164,,Surface,5,Image 1,1,2680,
183,,Surface,5,Image 1,1,2681,
189,,Surface,5,Image 1,1,2682,
173,,Surface,5,Image 1,1,2683,
150,,Surface,5,Image 1,1,2684,
170,,Surface,5,Image 1,1,2685,
164,,Surface,5,Image 1,1,2686,
182,,Surface,5,Image 1,1,2687,
177,,Surface,5,Image 1,1,2688,
151,,Surface,5,Image 1,1,2689,
173,,Surface,5,Image 1,1,2690,
147,,Surface,5,Image 1,1,2691,
146,,Surface,5,Image 1,1,2692,
185,,Surface,5,Image 1,1,2693,
149,,Surface,5,Image 1,1,2694,
165,,Surface,5,Image 1,1,2695,
180,,Surface,5,Image 1,1,2696,
162,,Surface,5,Image 1,1,2697,
170,,Surface,5,Image 1,1,2698,
164,,Surface,5,Image 1,1,2699,
146,,Surface,5,Image 1,1,2700,
151,,Surface,5,Image 1,1,2701,
165,,Surface,5,Image 1,1,2702,
144,,Surface,5,Image 1,1,2703,
154,,Surface,5,Image 1,1,2704,
151,,Surface,5,Image 1,1,2705,
163,,Surface,5,Image 1,1,2706,
158,,Surface,5,Image 1,1,2707,
174,,Surface,5,Image 1,1,2708,
173,,Surface,5,Image 1,1,2709,
154,,Surface,5,Image 1,1,2710,
166,,Surface,5,Image 1,1,2711,
153,,Surface,5,Image 1,1,2712,
151,,Surface,5,Image 1,1,2713,
129,,Surface,5,Image 1,1,2714,
155,,Surface,5,Image 1,1,2715,
174,,Surface,5,Image 1,1,2716,
169,,Surface,5,Image 1,1,2717,
172,,Surface,5,Image 1,1,2718,
182,,Surface,5,Image 1,1,2719,
172,,Surface,5,Image 1,1,2720,
175,,Surface,5,Image 1,1,2721,
162,,Surface,5,Image 1,1,2722,
151,,Surface,5,Image 1,1,2723,
147,,Surface,5,Image 1,1,2724,
148,,Surface,5,Image 1,1,2725,
147,,Surface,5,Image 1,1,2726,
181,,Surface,5,Image 1,1,2727,
172,,Surface,5,Image 1,1,2728,
186,,Surface,5,Image 1,1,2729,
169,,Surface,5,Image 1,1,2730,
167,,Surface,5,Image 1,1,2731,
160,,Surface,5,Image 1,1,2732,
153,,Surface,5,Image 1,1,2733,
150,,Surface,5,Image 1,1,2734,
171,,Surface,5,Image 1,1,2735,
180,,Surface,5,Image 1,1,2736,
184,,Surface,5,Image 1,1,2737,
176,,Surface,5,Image 1,1,2738,
178,,Surface,5,Image 1,1,2739,
141,,Surface,5,Image 1,1,2740,
156,,Surface,5,Image 1,1,2741,
165,,Surface,5,Image 1,1,2742,
180,,Surface,5,Image 1,1,2743,
182,,Surface,5,Image 1,1,2744,
171,,Surface,5,Image 1,1,2745,
177,,Surface,5,Image 1,1,2746,
160,,Surface,5,Image 1,1,2747,
164,,Surface,5,Image 1,1,2748,
162,,Surface,5,Image 1,1,2749,
181,,Surface,5,Image 1,1,2750,
182,,Surface,5,Image 1,1,2751,
176,,Surface,5,Image 1,1,2752,
173,,Surface,5,Image 1,1,2753,
186,,Surface,5,Image 1,1,2754,
174,,Surface,5,Image 1,1,2755,
178,,Surface,5,Image 1,1,2756,
175,,Surface,5,Image 1,1,2757,
160,,Surface,5,Image 1,1,2758,
160,,Surface,5,Image 1,1,2759,
178,,Surface,5,Image 1,1,2760,
185,,Surface,5,Image 1,1,2761,
184,,Surface,5,Image 1,1,2762,
174,,Surface,5,Image 1,1,2763,
188,,Surface,5,Image 1,1,2764,
156,,Surface,5,Image 1,1,2765,
178,,Surface,5,Image 1,1,2766,
152,,Surface,5,Image 1,1,2767,
184,,Surface,5,Image 1,1,2768,
168,,Surface,5,Image 1,1,2769,
151,,Surface,5,Image 1,1,2770,
148,,Surface,5,Image 1,1,2771,
163,,Surface,5,Image 1,1,2772,
179,,Surface,5,Image 1,1,2773,
180,,Surface,5,Image 1,1,2774,
171,,Surface,5,Image 1,1,2775,
162,,Surface,5,Image 1,1,2776,
160,,Surface,5,Image 1,1,2777,
161,,Surface,5,Image 1,1,2778,
177,,Surface,5,Image 1,1,2779,
194,,Surface,5,Image 1,1,2780,
189,,Surface,5,Image 1,1,2781,
175,,Surface,5,Image 1,1,2782,
170,,Surface,5,Image 1,1,2783,
174,,Surface,5,Image 1,1,2784,
159,,Surface,5,Image 1,1,2785,
166,,Surface,5,Image 1,1,2786,
161,,Surface,5,Image 1,1,2787,
160,,Surface,5,Image 1,1,2788,
154,,Surface,5,Image 1,1,2789,
157,,Surface,5,Image 1,1,2790,
147,,Surface,5,Image 1,1,2791,
174,,Surface,5,Image 1,1,2792,
176,,Surface,5,Image 1,1,2793,
173,,Surface,5,Image 1,1,2794,
168,,Surface,5,Image 1,1,2795,
176,,Surface,5,Image 1,1,2796,
168,,Surface,5,Image 1,1,2797,
172,,Surface,5,Image 1,1,2798,
168,,Surface,5,Image 1,1,2799,
156,,Surface,5,Image 1,1,2800,
174,,Surface,5,Image 1,1,2801,
152,,Surface,5,Image 1,1,2802,
145,,Surface,5,Image 1,1,2803,
170,,Surface,5,Image 1,1,2804,
168,,Surface,5,Image 1,1,2805,
171,,Surface,5,Image 1,1,2806,
159,,Surface,5,Image 1,1,2807,
156,,Surface,5,Image 1,1,2808,
157,,Surface,5,Image 1,1,2809,
165,,Surface,5,Image 1,1,2810,
173,,Surface,5,Image 1,1,2811,
175,,Surface,5,Image 1,1,2812,
159,,Surface,5,Image 1,1,2813,
160,,Surface,5,Image 1,1,2814,
168,,Surface,5,Image 1,1,2815,
154,,Surface,5,Image 1,1,2816,
153,,Surface,5,Image 1,1,2817,
169,,Surface,5,Image 1,1,2818,
170,,Surface,5,Image 1,1,2819,
