
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
11,,Surface,2,Image 1,1,2866,
45,,Surface,2,Image 1,1,2867,
7,,Surface,2,Image 1,1,2868,
22,,Surface,2,Image 1,1,2869,
32,,Surface,2,Image 1,1,2870,
16,,Surface,2,Image 1,1,2871,
25,,Surface,2,Image 1,1,2872,
31,,Surface,2,Image 1,1,2873,
17,,Surface,2,Image 1,1,2874,
32,,Surface,2,Image 1,1,2875,
14,,Surface,2,Image 1,1,2876,
7,,Surface,2,Image 1,1,2877,
17,,Surface,2,Image 1,1,2878,
23,,Surface,2,Image 1,1,2879,
12,,Surface,2,Image 1,1,2880,
16,,Surface,2,Image 1,1,2881,
12,,Surface,2,Image 1,1,2882,
12,,Surface,2,Image 1,1,2883,
57,,Surface,2,Image 1,1,2884,
12,,Surface,2,Image 1,1,2885,
30,,Surface,2,Image 1,1,2886,
14,,Surface,2,Image 1,1,2887,
16,,Surface,2,Image 1,1,2888,
3,,Surface,2,Image 1,1,2889,
5,,Surface,2,Image 1,1,2890,
14,,Surface,2,Image 1,1,2891,
14,,Surface,2,Image 1,1,2892,
12,,Surface,2,Image 1,1,2893,
20,,Surface,2,Image 1,1,2894,
11,,Surface,2,Image 1,1,2895,
9,,Surface,2,Image 1,1,2896,
9,,Surface,2,Image 1,1,2897,
5,,Surface,2,Image 1,1,2898,
18,,Surface,2,Image 1,1,2899,
26,,Surface,2,Image 1,1,2900,
17,,Surface,2,Image 1,1,2901,
32,,Surface,2,Image 1,1,2902,
21,,Surface,2,Image 1,1,2903,
19,,Surface,2,Image 1,1,2904,
18,,Surface,2,Image 1,1,2905,
18,,Surface,2,Image 1,1,2906,
28,,Surface,2,Image 1,1,2907,
21,,Surface,2,Image 1,1,2908,
22,,Surface,2,Image 1,1,2909,
12,,Surface,2,Image 1,1,2910,
17,,Surface,2,Image 1,1,2911,
12,,Surface,2,Image 1,1,2912,
1,,Surface,2,Image 1,1,2913,
0,,Surface,2,Image 1,1,2914,
20,,Surface,2,Image 1,1,2915,
25,,Surface,2,Image 1,1,2916,
3,,Surface,2,Image 1,1,2917,
40,,Surface,2,Image 1,1,2918,
33,,Surface,2,Image 1,1,2919,
12,,Surface,2,Image 1,1,2920,
14,,Surface,2,Image 1,1,2921,
19,,Surface,2,Image 1,1,2922,
23,,Surface,2,Image 1,1,2923,
14,,Surface,2,Image 1,1,2924,
29,,Surface,2,Image 1,1,2925,
24,,Surface,2,Image 1,1,2926,
5,,Surface,2,Image 1,1,2927,
6,,Surface,2,Image 1,1,2928,
13,,Surface,2,Image 1,1,2929,
10,,Surface,2,Image 1,1,2930,
28,,Surface,2,Image 1,1,2931,
19,,Surface,2,Image 1,1,2932,
23,,Surface,2,Image 1,1,2933,
20,,Surface,2,Image 1,1,2934,
24,,Surface,2,Image 1,1,2935,
32,,Surface,2,Image 1,1,2936,
19,,Surface,2,Image 1,1,2937,
17,,Surface,2,Image 1,1,2938,
17,,Surface,2,Image 1,1,2939,
21,,Surface,2,Image 1,1,2940,
1,,Surface,2,Image 1,1,2941,
10,,Surface,2,Image 1,1,2942,
30,,Surface,2,Image 1,1,2943,
4,,Surface,2,Image 1,1,2944,
14,,Surface,2,Image 1,1,2945,
17,,Surface,2,Image 1,1,2946,
37,,Surface,2,Image 1,1,2947,
13,,Surface,2,Image 1,1,2948,
14,,Surface,2,Image 1,1,2949,
6,,Surface,2,Image 1,1,2950,
13,,Surface,2,Image 1,1,2951,
19,,Surface,2,Image 1,1,2952,
25,,Surface,2,Image 1,1,2953,
14,,Surface,2,Image 1,1,2954,
12,,Surface,2,Image 1,1,2955,
23,,Surface,2,Image 1,1,2956,
18,,Surface,2,Image 1,1,2957,
8,,Surface,2,Image 1,1,2958,
6,,Surface,2,Image 1,1,2959,
21,,Surface,2,Image 1,1,2960,
8,,Surface,2,Image 1,1,2961,
23,,Surface,2,Image 1,1,2962,
25,,Surface,2,Image 1,1,2963,
13,,Surface,2,Image 1,1,2964,
28,,Surface,2,Image 1,1,2965,
16,,Surface,2,Image 1,1,2966,
13,,Surface,2,Image 1,1,2967,
22,,Surface,2,Image 1,1,2968,
33,,Surface,2,Image 1,1,2969,
10,,Surface,2,Image 1,1,2970,
29,,Surface,2,Image 1,1,2971,
16,,Surface,2,Image 1,1,2972,
30,,Surface,2,Image 1,1,2973,
6,,Surface,2,Image 1,1,2974,
8,,Surface,2,Image 1,1,2975,
16,,Surface,2,Image 1,1,2976,
5,,Surface,2,Image 1,1,2977,
8,,Surface,2,Image 1,1,2978,
12,,Surface,2,Image 1,1,2979,
1,,Surface,2,Image 1,1,2980,
21,,Surface,2,Image 1,1,2981,
11,,Surface,2,Image 1,1,2982,
5,,Surface,2,Image 1,1,2983,
21,,Surface,2,Image 1,1,2984,
16,,Surface,2,Image 1,1,2985,
23,,Surface,2,Image 1,1,2986,
23,,Surface,2,Image 1,1,2987,
25,,Surface,2,Image 1,1,2988,
18,,Surface,2,Image 1,1,2989,
1,,Surface,2,Image 1,1,2990,
24,,Surface,2,Image 1,1,2991,
10,,Surface,2,Image 1,1,2992,
12,,Surface,2,Image 1,1,2993,
31,,Surface,2,Image 1,1,2994,
23,,Surface,2,Image 1,1,2995,
12,,Surface,2,Image 1,1,2996,
18,,Surface,2,Image 1,1,2997,
11,,Surface,2,Image 1,1,2998,
11,,Surface,2,Image 1,1,2999,
33,,Surface,2,Image 1,1,3000,
17,,Surface,2,Image 1,1,3001,
25,,Surface,2,Image 1,1,3002,
5,,Surface,2,Image 1,1,3003,
9,,Surface,2,Image 1,1,3004,
33,,Surface,2,Image 1,1,3005,
17,,Surface,2,Image 1,1,3006,
17,,Surface,2,Image 1,1,3007,
19,,Surface,2,Image 1,1,3008,
35,,Surface,2,Image 1,1,3009,
19,,Surface,2,Image 1,1,3010,
16,,Surface,2,Image 1,1,3011,
11,,Surface,2,Image 1,1,3012,
25,,Surface,2,Image 1,1,3013,
22,,Surface,2,Image 1,1,3014,
11,,Surface,2,Image 1,1,3015,
32,,Surface,2,Image 1,1,3016,
19,,Surface,2,Image 1,1,3017,
6,,Surface,2,Image 1,1,3018,
30,,Surface,2,Image 1,1,3019,
13,,Surface,2,Image 1,1,3020,
15,,Surface,2,Image 1,1,3021,
21,,Surface,2,Image 1,1,3022,
24,,Surface,2,Image 1,1,3023,
