
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,ID,
-1.07494e-11,5.05226e-13,1,um,Surface,Ellipsoid Axis A,1,2593,
3.22459e-12,1.50627e-13,1,um,Surface,Ellipsoid Axis A,1,2594,
-3.18362e-12,9.43255e-12,1,um,Surface,Ellipsoid Axis A,1,2595,
-5.58136e-12,-2.15428e-13,1,um,Surface,Ellipsoid Axis A,1,2596,
-1.88032e-12,1.12969e-12,1,um,Surface,Ellipsoid Axis A,1,2597,
-5.09858e-12,-8.40737e-12,1,um,Surface,Ellipsoid Axis A,1,2598,
-5.20403e-12,-2.81065e-13,1,um,Surface,Ellipsoid Axis A,1,2599,
8.09983e-13,2.29305e-12,1,um,Surface,Ellipsoid Axis A,1,2600,
-1.83294e-11,1.5815e-17,1,um,Surface,Ellipsoid Axis A,1,2601,
1.5843e-12,3.47511e-13,1,um,Surface,Ellipsoid Axis A,1,2602,
7.61611e-12,2.698e-12,1,um,Surface,Ellipsoid Axis A,1,2603,
-7.06549e-12,-1.56026e-12,1,um,Surface,Ellipsoid Axis A,1,2604,
1.49907e-11,7.59024e-12,1,um,Surface,Ellipsoid Axis A,1,2605,
-5.21135e-12,-1.14939e-12,1,um,Surface,Ellipsoid Axis A,1,2606,
0,0,1,um,Surface,Ellipsoid Axis A,1,2607,
0,0,1,um,Surface,Ellipsoid Axis A,1,2608,
-8.30455e-12,2.46773e-12,1,um,Surface,Ellipsoid Axis A,1,2609,
-1.12225e-11,1.74501e-11,1,um,Surface,Ellipsoid Axis A,1,2610,
0,0,1,um,Surface,Ellipsoid Axis A,1,2611,
1.28377e-13,-2.74577e-12,1,um,Surface,Ellipsoid Axis A,1,2612,
0,0,1,um,Surface,Ellipsoid Axis A,1,2613,
-2.26755e-12,-1.48125e-12,1,um,Surface,Ellipsoid Axis A,1,2614,
-1.39105e-11,6.69848e-12,1,um,Surface,Ellipsoid Axis A,1,2615,
-2.81339e-12,3.99099e-12,1,um,Surface,Ellipsoid Axis A,1,2616,
2.58084e-12,-2.36506e-11,1,um,Surface,Ellipsoid Axis A,1,2617,
1.89524e-12,-5.21391e-13,1,um,Surface,Ellipsoid Axis A,1,2618,
5.76247e-12,2.62027e-12,1,um,Surface,Ellipsoid Axis A,1,2619,
4.1335e-12,3.82273e-12,1,um,Surface,Ellipsoid Axis A,1,2620,
3.07815e-13,-6.19171e-13,1,um,Surface,Ellipsoid Axis A,1,2621,
1.26094e-11,1.65946e-12,1,um,Surface,Ellipsoid Axis A,1,2622,
6.66329e-12,3.63754e-13,1,um,Surface,Ellipsoid Axis A,1,2623,
5.86667e-13,2.8183e-13,1,um,Surface,Ellipsoid Axis A,1,2624,
0,0,1,um,Surface,Ellipsoid Axis A,1,2625,
-5.13018e-12,3.89727e-12,1,um,Surface,Ellipsoid Axis A,1,2626,
-3.4822e-12,5.11488e-12,1,um,Surface,Ellipsoid Axis A,1,2627,
-8.8395e-12,-3.26619e-12,1,um,Surface,Ellipsoid Axis A,1,2628,
-2.06722e-13,2.33414e-12,1,um,Surface,Ellipsoid Axis A,1,2629,
9.23314e-12,5.51497e-16,1,um,Surface,Ellipsoid Axis A,1,2630,
4.02078e-13,2.29878e-14,1,um,Surface,Ellipsoid Axis A,1,2631,
4.10434e-13,-1.9783e-12,1,um,Surface,Ellipsoid Axis A,1,2632,
0,0,1,um,Surface,Ellipsoid Axis A,1,2633,
1.53578e-11,5.00508e-12,1,um,Surface,Ellipsoid Axis A,1,2634,
