
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
88,,Surface,Image 1,1,2854,
108,,Surface,Image 1,1,2855,
368,,Surface,Image 1,1,2856,
136,,Surface,Image 1,1,2857,
160,,Surface,Image 1,1,2858,
156,,Surface,Image 1,1,2859,
84,,Surface,Image 1,1,2860,
60,,Surface,Image 1,1,2861,
180,,Surface,Image 1,1,2862,
72,,Surface,Image 1,1,2863,
84,,Surface,Image 1,1,2864,
124,,Surface,Image 1,1,2865,
100,,Surface,Image 1,1,2866,
384,,Surface,Image 1,1,2867,
196,,Surface,Image 1,1,2868,
60,,Surface,Image 1,1,2869,
108,,Surface,Image 1,1,2870,
48,,Surface,Image 1,1,2871,
144,,Surface,Image 1,1,2872,
116,,Surface,Image 1,1,2873,
140,,Surface,Image 1,1,2874,
60,,Surface,Image 1,1,2875,
92,,Surface,Image 1,1,2876,
264,,Surface,Image 1,1,2877,
108,,Surface,Image 1,1,2878,
76,,Surface,Image 1,1,2879,
148,,Surface,Image 1,1,2880,
64,,Surface,Image 1,1,2881,
92,,Surface,Image 1,1,2882,
68,,Surface,Image 1,1,2883,
100,,Surface,Image 1,1,2884,
388,,Surface,Image 1,1,2885,
72,,Surface,Image 1,1,2886,
132,,Surface,Image 1,1,2887,
392,,Surface,Image 1,1,2888,
68,,Surface,Image 1,1,2889,
72,,Surface,Image 1,1,2890,
88,,Surface,Image 1,1,2891,
104,,Surface,Image 1,1,2892,
56,,Surface,Image 1,1,2893,
56,,Surface,Image 1,1,2894,
340,,Surface,Image 1,1,2895,
160,,Surface,Image 1,1,2896,
160,,Surface,Image 1,1,2897,
60,,Surface,Image 1,1,2898,
548,,Surface,Image 1,1,2899,
384,,Surface,Image 1,1,2900,
180,,Surface,Image 1,1,2901,
360,,Surface,Image 1,1,2902,
104,,Surface,Image 1,1,2903,
376,,Surface,Image 1,1,2904,
308,,Surface,Image 1,1,2905,
88,,Surface,Image 1,1,2906,
392,,Surface,Image 1,1,2907,
108,,Surface,Image 1,1,2908,
160,,Surface,Image 1,1,2909,
112,,Surface,Image 1,1,2910,
128,,Surface,Image 1,1,2911,
116,,Surface,Image 1,1,2912,
492,,Surface,Image 1,1,2913,
1192,,Surface,Image 1,1,2914,
84,,Surface,Image 1,1,2915,
252,,Surface,Image 1,1,2916,
360,,Surface,Image 1,1,2917,
140,,Surface,Image 1,1,2918,
92,,Surface,Image 1,1,2919,
180,,Surface,Image 1,1,2920,
300,,Surface,Image 1,1,2921,
160,,Surface,Image 1,1,2922,
108,,Surface,Image 1,1,2923,
756,,Surface,Image 1,1,2924,
232,,Surface,Image 1,1,2925,
60,,Surface,Image 1,1,2926,
536,,Surface,Image 1,1,2927,
528,,Surface,Image 1,1,2928,
132,,Surface,Image 1,1,2929,
180,,Surface,Image 1,1,2930,
424,,Surface,Image 1,1,2931,
396,,Surface,Image 1,1,2932,
600,,Surface,Image 1,1,2933,
100,,Surface,Image 1,1,2934,
168,,Surface,Image 1,1,2935,
88,,Surface,Image 1,1,2936,
76,,Surface,Image 1,1,2937,
304,,Surface,Image 1,1,2938,
96,,Surface,Image 1,1,2939,
712,,Surface,Image 1,1,2940,
120,,Surface,Image 1,1,2941,
108,,Surface,Image 1,1,2942,
420,,Surface,Image 1,1,2943,
196,,Surface,Image 1,1,2944,
68,,Surface,Image 1,1,2945,
188,,Surface,Image 1,1,2946,
268,,Surface,Image 1,1,2947,
80,,Surface,Image 1,1,2948,
148,,Surface,Image 1,1,2949,
108,,Surface,Image 1,1,2950,
100,,Surface,Image 1,1,2951,
252,,Surface,Image 1,1,2952,
96,,Surface,Image 1,1,2953,
592,,Surface,Image 1,1,2954,
1276,,Surface,Image 1,1,2955,
160,,Surface,Image 1,1,2956,
108,,Surface,Image 1,1,2957,
508,,Surface,Image 1,1,2958,
720,,Surface,Image 1,1,2959,
232,,Surface,Image 1,1,2960,
208,,Surface,Image 1,1,2961,
240,,Surface,Image 1,1,2962,
764,,Surface,Image 1,1,2963,
72,,Surface,Image 1,1,2964,
1948,,Surface,Image 1,1,2965,
220,,Surface,Image 1,1,2966,
124,,Surface,Image 1,1,2967,
108,,Surface,Image 1,1,2968,
16,,Surface,Image 1,1,2969,
948,,Surface,Image 1,1,2970,
132,,Surface,Image 1,1,2971,
208,,Surface,Image 1,1,2972,
256,,Surface,Image 1,1,2973,
452,,Surface,Image 1,1,2974,
172,,Surface,Image 1,1,2975,
460,,Surface,Image 1,1,2976,
428,,Surface,Image 1,1,2977,
144,,Surface,Image 1,1,2978,
96,,Surface,Image 1,1,2979,
652,,Surface,Image 1,1,2980,
112,,Surface,Image 1,1,2981,
116,,Surface,Image 1,1,2982,
1184,,Surface,Image 1,1,2983,
1588,,Surface,Image 1,1,2984,
432,,Surface,Image 1,1,2985,
408,,Surface,Image 1,1,2986,
388,,Surface,Image 1,1,2987,
128,,Surface,Image 1,1,2988,
508,,Surface,Image 1,1,2989,
328,,Surface,Image 1,1,2990,
208,,Surface,Image 1,1,2991,
1488,,Surface,Image 1,1,2992,
408,,Surface,Image 1,1,2993,
116,,Surface,Image 1,1,2994,
452,,Surface,Image 1,1,2995,
860,,Surface,Image 1,1,2996,
96,,Surface,Image 1,1,2997,
148,,Surface,Image 1,1,2998,
116,,Surface,Image 1,1,2999,
1220,,Surface,Image 1,1,3000,
1396,,Surface,Image 1,1,3001,
236,,Surface,Image 1,1,3002,
1448,,Surface,Image 1,1,3003,
116,,Surface,Image 1,1,3004,
1100,,Surface,Image 1,1,3005,
316,,Surface,Image 1,1,3006,
3736,,Surface,Image 1,1,3007,
508,,Surface,Image 1,1,3008,
2304,,Surface,Image 1,1,3009,
1916,,Surface,Image 1,1,3010,
124,,Surface,Image 1,1,3011,
376,,Surface,Image 1,1,3012,
592,,Surface,Image 1,1,3013,
864,,Surface,Image 1,1,3014,
468,,Surface,Image 1,1,3015,
780,,Surface,Image 1,1,3016,
184,,Surface,Image 1,1,3017,
128,,Surface,Image 1,1,3018,
1016,,Surface,Image 1,1,3019,
192,,Surface,Image 1,1,3020,
120,,Surface,Image 1,1,3021,
3040,,Surface,Image 1,1,3022,
940,,Surface,Image 1,1,3023,
120,,Surface,Image 1,1,3024,
140,,Surface,Image 1,1,3025,
1160,,Surface,Image 1,1,3026,
384,,Surface,Image 1,1,3027,
3448,,Surface,Image 1,1,3028,
68,,Surface,Image 1,1,3029,
60,,Surface,Image 1,1,3030,
820,,Surface,Image 1,1,3031,
600,,Surface,Image 1,1,3032,
276,,Surface,Image 1,1,3033,
152,,Surface,Image 1,1,3034,
588,,Surface,Image 1,1,3035,
464,,Surface,Image 1,1,3036,
796,,Surface,Image 1,1,3037,
156,,Surface,Image 1,1,3038,
220,,Surface,Image 1,1,3039,
880,,Surface,Image 1,1,3040,
716,,Surface,Image 1,1,3041,
1600,,Surface,Image 1,1,3042,
1844,,Surface,Image 1,1,3043,
232,,Surface,Image 1,1,3044,
84,,Surface,Image 1,1,3045,
1632,,Surface,Image 1,1,3046,
708,,Surface,Image 1,1,3047,
136,,Surface,Image 1,1,3048,
1680,,Surface,Image 1,1,3049,
876,,Surface,Image 1,1,3050,
256,,Surface,Image 1,1,3051,
6068,,Surface,Image 1,1,3052,
656,,Surface,Image 1,1,3053,
380,,Surface,Image 1,1,3054,
3000,,Surface,Image 1,1,3055,
664,,Surface,Image 1,1,3056,
648,,Surface,Image 1,1,3057,
376,,Surface,Image 1,1,3058,
280,,Surface,Image 1,1,3059,
168,,Surface,Image 1,1,3060,
196,,Surface,Image 1,1,3061,
568,,Surface,Image 1,1,3062,
208,,Surface,Image 1,1,3063,
276,,Surface,Image 1,1,3064,
288,,Surface,Image 1,1,3065,
288,,Surface,Image 1,1,3066,
676,,Surface,Image 1,1,3067,
228,,Surface,Image 1,1,3068,
472,,Surface,Image 1,1,3069,
176,,Surface,Image 1,1,3070,
192,,Surface,Image 1,1,3071,
100,,Surface,Image 1,1,3072,
968,,Surface,Image 1,1,3073,
720,,Surface,Image 1,1,3074,
1312,,Surface,Image 1,1,3075,
364,,Surface,Image 1,1,3076,
692,,Surface,Image 1,1,3077,
376,,Surface,Image 1,1,3078,
904,,Surface,Image 1,1,3079,
108,,Surface,Image 1,1,3080,
1020,,Surface,Image 1,1,3081,
60,,Surface,Image 1,1,3082,
384,,Surface,Image 1,1,3083,
212,,Surface,Image 1,1,3084,
188,,Surface,Image 1,1,3085,
276,,Surface,Image 1,1,3086,
172,,Surface,Image 1,1,3087,
404,,Surface,Image 1,1,3088,
3928,,Surface,Image 1,1,3089,
488,,Surface,Image 1,1,3090,
136,,Surface,Image 1,1,3091,
148,,Surface,Image 1,1,3092,
56,,Surface,Image 1,1,3093,
396,,Surface,Image 1,1,3094,
848,,Surface,Image 1,1,3095,
312,,Surface,Image 1,1,3096,
300,,Surface,Image 1,1,3097,
120,,Surface,Image 1,1,3098,
592,,Surface,Image 1,1,3099,
612,,Surface,Image 1,1,3100,
236,,Surface,Image 1,1,3101,
388,,Surface,Image 1,1,3102,
92,,Surface,Image 1,1,3103,
1468,,Surface,Image 1,1,3104,
456,,Surface,Image 1,1,3105,
848,,Surface,Image 1,1,3106,
232,,Surface,Image 1,1,3107,
596,,Surface,Image 1,1,3108,
552,,Surface,Image 1,1,3109,
232,,Surface,Image 1,1,3110,
200,,Surface,Image 1,1,3111,
256,,Surface,Image 1,1,3112,
1148,,Surface,Image 1,1,3113,
192,,Surface,Image 1,1,3114,
316,,Surface,Image 1,1,3115,
568,,Surface,Image 1,1,3116,
88,,Surface,Image 1,1,3117,
364,,Surface,Image 1,1,3118,
112,,Surface,Image 1,1,3119,
652,,Surface,Image 1,1,3120,
152,,Surface,Image 1,1,3121,
476,,Surface,Image 1,1,3122,
160,,Surface,Image 1,1,3123,
388,,Surface,Image 1,1,3124,
164,,Surface,Image 1,1,3125,
244,,Surface,Image 1,1,3126,
192,,Surface,Image 1,1,3127,
508,,Surface,Image 1,1,3128,
400,,Surface,Image 1,1,3129,
280,,Surface,Image 1,1,3130,
204,,Surface,Image 1,1,3131,
348,,Surface,Image 1,1,3132,
216,,Surface,Image 1,1,3133,
52,,Surface,Image 1,1,3134,
464,,Surface,Image 1,1,3135,
896,,Surface,Image 1,1,3136,
232,,Surface,Image 1,1,3137,
332,,Surface,Image 1,1,3138,
408,,Surface,Image 1,1,3139,
144,,Surface,Image 1,1,3140,
168,,Surface,Image 1,1,3141,
308,,Surface,Image 1,1,3142,
1312,,Surface,Image 1,1,3143,
160,,Surface,Image 1,1,3144,
3236,,Surface,Image 1,1,3145,
348,,Surface,Image 1,1,3146,
204,,Surface,Image 1,1,3147,
3788,,Surface,Image 1,1,3148,
136,,Surface,Image 1,1,3149,
176,,Surface,Image 1,1,3150,
268,,Surface,Image 1,1,3151,
656,,Surface,Image 1,1,3152,
64,,Surface,Image 1,1,3153,
408,,Surface,Image 1,1,3154,
300,,Surface,Image 1,1,3155,
228,,Surface,Image 1,1,3156,
19300,,Surface,Image 1,1,3157,
88,,Surface,Image 1,1,3158,
452,,Surface,Image 1,1,3159,
436,,Surface,Image 1,1,3160,
124,,Surface,Image 1,1,3161,
808,,Surface,Image 1,1,3162,
1032,,Surface,Image 1,1,3163,
1424,,Surface,Image 1,1,3164,
1052,,Surface,Image 1,1,3165,
268,,Surface,Image 1,1,3166,
1836,,Surface,Image 1,1,3167,
356,,Surface,Image 1,1,3168,
824,,Surface,Image 1,1,3169,
312,,Surface,Image 1,1,3170,
152,,Surface,Image 1,1,3171,
224,,Surface,Image 1,1,3172,
3432,,Surface,Image 1,1,3173,
76,,Surface,Image 1,1,3174,
328,,Surface,Image 1,1,3175,
204,,Surface,Image 1,1,3176,
208,,Surface,Image 1,1,3177,
168,,Surface,Image 1,1,3178,
1876,,Surface,Image 1,1,3179,
236,,Surface,Image 1,1,3180,
608,,Surface,Image 1,1,3181,
348,,Surface,Image 1,1,3182,
6144,,Surface,Image 1,1,3183,
200,,Surface,Image 1,1,3184,
172,,Surface,Image 1,1,3185,
140,,Surface,Image 1,1,3186,
340,,Surface,Image 1,1,3187,
572,,Surface,Image 1,1,3188,
824,,Surface,Image 1,1,3189,
268,,Surface,Image 1,1,3190,
