
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
76.1289,,Surface,6,Image 1,1,2602,
71.2821,,Surface,6,Image 1,1,2603,
63.3444,,Surface,6,Image 1,1,2604,
71.2318,,Surface,6,Image 1,1,2605,
68.648,,Surface,6,Image 1,1,2606,
78.3636,,Surface,6,Image 1,1,2607,
72.037,,Surface,6,Image 1,1,2608,
73.1,,Surface,6,Image 1,1,2609,
65.3103,,Surface,6,Image 1,1,2610,
72.5,,Surface,6,Image 1,1,2611,
58.3529,,Surface,6,Image 1,1,2612,
80.9667,,Surface,6,Image 1,1,2613,
72.12,,Surface,6,Image 1,1,2614,
78.4545,,Surface,6,Image 1,1,2615,
66.087,,Surface,6,Image 1,1,2616,
89.5978,,Surface,6,Image 1,1,2617,
68.3705,,Surface,6,Image 1,1,2618,
73.3672,,Surface,6,Image 1,1,2619,
70.675,,Surface,6,Image 1,1,2620,
64.7166,,Surface,6,Image 1,1,2621,
71.1993,,Surface,6,Image 1,1,2622,
61.35,,Surface,6,Image 1,1,2623,
70.8533,,Surface,6,Image 1,1,2624,
79.0333,,Surface,6,Image 1,1,2625,
60.2634,,Surface,6,Image 1,1,2626,
94.8235,,Surface,6,Image 1,1,2627,
66.8942,,Surface,6,Image 1,1,2628,
66.5217,,Surface,6,Image 1,1,2629,
68.6734,,Surface,6,Image 1,1,2630,
74.2975,,Surface,6,Image 1,1,2631,
59.2205,,Surface,6,Image 1,1,2632,
71.223,,Surface,6,Image 1,1,2633,
70.8909,,Surface,6,Image 1,1,2634,
66.4952,,Surface,6,Image 1,1,2635,
77.1371,,Surface,6,Image 1,1,2636,
70.8019,,Surface,6,Image 1,1,2637,
65.6386,,Surface,6,Image 1,1,2638,
82.5244,,Surface,6,Image 1,1,2639,
76.5466,,Surface,6,Image 1,1,2640,
82.6466,,Surface,6,Image 1,1,2641,
67.1818,,Surface,6,Image 1,1,2642,
79.8538,,Surface,6,Image 1,1,2643,
67.1352,,Surface,6,Image 1,1,2644,
76.9205,,Surface,6,Image 1,1,2645,
80.1912,,Surface,6,Image 1,1,2646,
62.2759,,Surface,6,Image 1,1,2647,
69.7806,,Surface,6,Image 1,1,2648,
