
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,ID,
0.559017,um,Surface,1,2728,
0.559017,um,Surface,1,2729,
0.559017,um,Surface,1,2730,
0.559017,um,Surface,1,2731,
0.559017,um,Surface,1,2732,
0.559017,um,Surface,1,2733,
0.559017,um,Surface,1,2734,
0.559017,um,Surface,1,2735,
0.559017,um,Surface,1,2736,
0.559017,um,Surface,1,2737,
0.559017,um,Surface,1,2738,
0.559017,um,Surface,1,2739,
0.559017,um,Surface,1,2740,
0.559017,um,Surface,1,2741,
0.559017,um,Surface,1,2742,
0.559017,um,Surface,1,2743,
0.559017,um,Surface,1,2744,
0.559017,um,Surface,1,2745,
0.559017,um,Surface,1,2746,
0.559017,um,Surface,1,2747,
0.559017,um,Surface,1,2748,
0.559017,um,Surface,1,2749,
0.559017,um,Surface,1,2750,
0.559017,um,Surface,1,2751,
0.559017,um,Surface,1,2752,
0.559017,um,Surface,1,2753,
0.559017,um,Surface,1,2754,
0.559017,um,Surface,1,2755,
0.559017,um,Surface,1,2756,
0.559017,um,Surface,1,2757,
0.559017,um,Surface,1,2758,
0.559017,um,Surface,1,2759,
0.559017,um,Surface,1,2760,
0.559017,um,Surface,1,2761,
0.559017,um,Surface,1,2762,
0.559017,um,Surface,1,2763,
0.559017,um,Surface,1,2764,
0.559017,um,Surface,1,2765,
0.559017,um,Surface,1,2766,
0.559017,um,Surface,1,2767,
0.559017,um,Surface,1,2768,
0.559017,um,Surface,1,2769,
0.559017,um,Surface,1,2770,
0.559017,um,Surface,1,2771,
0.559017,um,Surface,1,2772,
0.559017,um,Surface,1,2773,
0.559017,um,Surface,1,2774,
0.559017,um,Surface,1,2775,
0.559017,um,Surface,1,2776,
0.559017,um,Surface,1,2777,
0.559017,um,Surface,1,2778,
0.559017,um,Surface,1,2779,
0.559017,um,Surface,1,2780,
0.559017,um,Surface,1,2781,
0.559017,um,Surface,1,2782,
0.559017,um,Surface,1,2783,
0.559017,um,Surface,1,2784,
0.559017,um,Surface,1,2785,
0.559017,um,Surface,1,2786,
0.559017,um,Surface,1,2787,
0.559017,um,Surface,1,2788,
0.559017,um,Surface,1,2789,
0.559017,um,Surface,1,2790,
0.559017,um,Surface,1,2791,
0.559017,um,Surface,1,2792,
0.559017,um,Surface,1,2793,
0.559017,um,Surface,1,2794,
0.559017,um,Surface,1,2795,
0.559017,um,Surface,1,2796,
0.559017,um,Surface,1,2797,
0.559017,um,Surface,1,2798,
0.559017,um,Surface,1,2799,
0.559017,um,Surface,1,2800,
0.559017,um,Surface,1,2801,
0.559017,um,Surface,1,2802,
0.559017,um,Surface,1,2803,
0.559017,um,Surface,1,2804,
0.559017,um,Surface,1,2805,
0.559017,um,Surface,1,2806,
0.559017,um,Surface,1,2807,
0.559017,um,Surface,1,2808,
0.559017,um,Surface,1,2809,
0.559017,um,Surface,1,2810,
0.559017,um,Surface,1,2811,
0.559017,um,Surface,1,2812,
0.559017,um,Surface,1,2813,
0.559017,um,Surface,1,2814,
0.559017,um,Surface,1,2815,
0.559017,um,Surface,1,2816,
0.559017,um,Surface,1,2817,
0.559017,um,Surface,1,2818,
0.559017,um,Surface,1,2819,
0.559017,um,Surface,1,2820,
0.559017,um,Surface,1,2821,
0.559017,um,Surface,1,2822,
0.559017,um,Surface,1,2823,
0.559017,um,Surface,1,2824,
0.559017,um,Surface,1,2825,
0.559017,um,Surface,1,2826,
0.559017,um,Surface,1,2827,
0.559017,um,Surface,1,2828,
0.559017,um,Surface,1,2829,
0.559017,um,Surface,1,2830,
0.559017,um,Surface,1,2831,
0.559017,um,Surface,1,2832,
0.559017,um,Surface,1,2833,
0.559017,um,Surface,1,2834,
0.559017,um,Surface,1,2835,
0.559017,um,Surface,1,2836,
0.559017,um,Surface,1,2837,
0.559017,um,Surface,1,2838,
0.559017,um,Surface,1,2839,
0.559017,um,Surface,1,2840,
0.559017,um,Surface,1,2841,
0.559017,um,Surface,1,2842,
0.559017,um,Surface,1,2843,
0.559017,um,Surface,1,2844,
0.559017,um,Surface,1,2845,
0.559017,um,Surface,1,2846,
0.559017,um,Surface,1,2847,
0.559017,um,Surface,1,2848,
0.559017,um,Surface,1,2849,
0.559017,um,Surface,1,2850,
0.559017,um,Surface,1,2851,
0.559017,um,Surface,1,2852,
0.559017,um,Surface,1,2853,
0.559017,um,Surface,1,2854,
0.559017,um,Surface,1,2855,
0.559017,um,Surface,1,2856,
0.559017,um,Surface,1,2857,
0.559017,um,Surface,1,2858,
0.559017,um,Surface,1,2859,
0.559017,um,Surface,1,2860,
0.559017,um,Surface,1,2861,
0.559017,um,Surface,1,2862,
0.559017,um,Surface,1,2863,
0.559017,um,Surface,1,2864,
0.559017,um,Surface,1,2865,
0.559017,um,Surface,1,2866,
0.559017,um,Surface,1,2867,
0.559017,um,Surface,1,2868,
0.559017,um,Surface,1,2869,
0.559017,um,Surface,1,2870,
0.559017,um,Surface,1,2871,
0.559017,um,Surface,1,2872,
0.559017,um,Surface,1,2873,
0.559017,um,Surface,1,2874,
0.559017,um,Surface,1,2875,
0.559017,um,Surface,1,2876,
0.559017,um,Surface,1,2877,
0.559017,um,Surface,1,2878,
0.559017,um,Surface,1,2879,
0.559017,um,Surface,1,2880,
0.559017,um,Surface,1,2881,
0.559017,um,Surface,1,2882,
0.559017,um,Surface,1,2883,
0.559017,um,Surface,1,2884,
0.559017,um,Surface,1,2885,
0.559017,um,Surface,1,2886,
0.559017,um,Surface,1,2887,
0.559017,um,Surface,1,2888,
0.559017,um,Surface,1,2889,
0.559017,um,Surface,1,2890,
0.559017,um,Surface,1,2891,
0.559017,um,Surface,1,2892,
0.559017,um,Surface,1,2893,
0.559017,um,Surface,1,2894,
0.559017,um,Surface,1,2895,
0.559017,um,Surface,1,2896,
0.559017,um,Surface,1,2897,
0.559017,um,Surface,1,2898,
0.559017,um,Surface,1,2899,
0.559017,um,Surface,1,2900,
0.559017,um,Surface,1,2901,
0.559017,um,Surface,1,2902,
0.559017,um,Surface,1,2903,
0.559017,um,Surface,1,2904,
0.559017,um,Surface,1,2905,
0.559017,um,Surface,1,2906,
0.559017,um,Surface,1,2907,
0.559017,um,Surface,1,2908,
0.559017,um,Surface,1,2909,
0.559017,um,Surface,1,2910,
0.559017,um,Surface,1,2911,
0.559017,um,Surface,1,2912,
0.559017,um,Surface,1,2913,
0.559017,um,Surface,1,2914,
0.559017,um,Surface,1,2915,
0.559017,um,Surface,1,2916,
0.559017,um,Surface,1,2917,
0.559017,um,Surface,1,2918,
0.559017,um,Surface,1,2919,
0.559017,um,Surface,1,2920,
0.559017,um,Surface,1,2921,
0.559017,um,Surface,1,2922,
0.559017,um,Surface,1,2923,
0.559017,um,Surface,1,2924,
