
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,2646,
0,um,Surface,Image 1,1,2647,
0,um,Surface,Image 1,1,2648,
0,um,Surface,Image 1,1,2649,
0,um,Surface,Image 1,1,2650,
0,um,Surface,Image 1,1,2651,
0,um,Surface,Image 1,1,2652,
0,um,Surface,Image 1,1,2653,
0,um,Surface,Image 1,1,2654,
0,um,Surface,Image 1,1,2655,
0,um,Surface,Image 1,1,2656,
0,um,Surface,Image 1,1,2657,
0,um,Surface,Image 1,1,2658,
0,um,Surface,Image 1,1,2659,
0,um,Surface,Image 1,1,2660,
0,um,Surface,Image 1,1,2661,
0,um,Surface,Image 1,1,2662,
0,um,Surface,Image 1,1,2663,
0,um,Surface,Image 1,1,2664,
0,um,Surface,Image 1,1,2665,
0,um,Surface,Image 1,1,2666,
0,um,Surface,Image 1,1,2667,
0,um,Surface,Image 1,1,2668,
0,um,Surface,Image 1,1,2669,
0,um,Surface,Image 1,1,2670,
0,um,Surface,Image 1,1,2671,
0,um,Surface,Image 1,1,2672,
0,um,Surface,Image 1,1,2673,
0,um,Surface,Image 1,1,2674,
0,um,Surface,Image 1,1,2675,
0,um,Surface,Image 1,1,2676,
0,um,Surface,Image 1,1,2677,
0,um,Surface,Image 1,1,2678,
0,um,Surface,Image 1,1,2679,
0,um,Surface,Image 1,1,2680,
0,um,Surface,Image 1,1,2681,
0,um,Surface,Image 1,1,2682,
0,um,Surface,Image 1,1,2683,
0,um,Surface,Image 1,1,2684,
0,um,Surface,Image 1,1,2685,
0,um,Surface,Image 1,1,2686,
0,um,Surface,Image 1,1,2687,
0,um,Surface,Image 1,1,2688,
0,um,Surface,Image 1,1,2689,
0,um,Surface,Image 1,1,2690,
0,um,Surface,Image 1,1,2691,
0,um,Surface,Image 1,1,2692,
0,um,Surface,Image 1,1,2693,
0,um,Surface,Image 1,1,2694,
0,um,Surface,Image 1,1,2695,
0,um,Surface,Image 1,1,2696,
0,um,Surface,Image 1,1,2697,
0,um,Surface,Image 1,1,2698,
0,um,Surface,Image 1,1,2699,
0,um,Surface,Image 1,1,2700,
0,um,Surface,Image 1,1,2701,
0,um,Surface,Image 1,1,2702,
0,um,Surface,Image 1,1,2703,
0,um,Surface,Image 1,1,2704,
0,um,Surface,Image 1,1,2705,
0,um,Surface,Image 1,1,2706,
0,um,Surface,Image 1,1,2707,
0,um,Surface,Image 1,1,2708,
0,um,Surface,Image 1,1,2709,
0,um,Surface,Image 1,1,2710,
0,um,Surface,Image 1,1,2711,
0,um,Surface,Image 1,1,2712,
0,um,Surface,Image 1,1,2713,
0,um,Surface,Image 1,1,2714,
0,um,Surface,Image 1,1,2715,
0,um,Surface,Image 1,1,2716,
0,um,Surface,Image 1,1,2717,
