
Area
 ==================== 
Area,Unit,Category,Time,ID,
9.23598,um^2,Surface,1,2714,
35.3487,um^2,Surface,1,2715,
349.129,um^2,Surface,1,2716,
172.26,um^2,Surface,1,2717,
66.1427,um^2,Surface,1,2718,
146.638,um^2,Surface,1,2719,
199.569,um^2,Surface,1,2720,
362.418,um^2,Surface,1,2721,
39.8736,um^2,Surface,1,2722,
113.653,um^2,Surface,1,2723,
154.83,um^2,Surface,1,2724,
47.1462,um^2,Surface,1,2725,
68.925,um^2,Surface,1,2726,
277.633,um^2,Surface,1,2727,
114.347,um^2,Surface,1,2728,
126.182,um^2,Surface,1,2729,
215.074,um^2,Surface,1,2730,
128.784,um^2,Surface,1,2731,
72.6578,um^2,Surface,1,2732,
126.703,um^2,Surface,1,2733,
132.696,um^2,Surface,1,2734,
58.6533,um^2,Surface,1,2735,
149.427,um^2,Surface,1,2736,
856.202,um^2,Surface,1,2737,
193.164,um^2,Surface,1,2738,
125.519,um^2,Surface,1,2739,
35.7612,um^2,Surface,1,2740,
184.332,um^2,Surface,1,2741,
365.192,um^2,Surface,1,2742,
524.619,um^2,Surface,1,2743,
408.517,um^2,Surface,1,2744,
148.069,um^2,Surface,1,2745,
116.501,um^2,Surface,1,2746,
408.965,um^2,Surface,1,2747,
269.573,um^2,Surface,1,2748,
318.163,um^2,Surface,1,2749,
179.651,um^2,Surface,1,2750,
200.41,um^2,Surface,1,2751,
235.456,um^2,Surface,1,2752,
89.4071,um^2,Surface,1,2753,
83.7944,um^2,Surface,1,2754,
127.508,um^2,Surface,1,2755,
146.277,um^2,Surface,1,2756,
346.347,um^2,Surface,1,2757,
86.3573,um^2,Surface,1,2758,
43.1267,um^2,Surface,1,2759,
189.661,um^2,Surface,1,2760,
757.366,um^2,Surface,1,2761,
88.7475,um^2,Surface,1,2762,
114.099,um^2,Surface,1,2763,
114.591,um^2,Surface,1,2764,
55.9377,um^2,Surface,1,2765,
290.11,um^2,Surface,1,2766,
46.933,um^2,Surface,1,2767,
411.987,um^2,Surface,1,2768,
171.535,um^2,Surface,1,2769,
63.2295,um^2,Surface,1,2770,
47.3085,um^2,Surface,1,2771,
139.126,um^2,Surface,1,2772,
310.115,um^2,Surface,1,2773,
145.93,um^2,Surface,1,2774,
367.789,um^2,Surface,1,2775,
161.337,um^2,Surface,1,2776,
36.7699,um^2,Surface,1,2777,
91.7017,um^2,Surface,1,2778,
145.571,um^2,Surface,1,2779,
78.1328,um^2,Surface,1,2780,
317.793,um^2,Surface,1,2781,
146.208,um^2,Surface,1,2782,
129.378,um^2,Surface,1,2783,
160.067,um^2,Surface,1,2784,
40.6367,um^2,Surface,1,2785,
130.844,um^2,Surface,1,2786,
244.107,um^2,Surface,1,2787,
40.6738,um^2,Surface,1,2788,
168.963,um^2,Surface,1,2789,
84.9615,um^2,Surface,1,2790,
43.6305,um^2,Surface,1,2791,
264.862,um^2,Surface,1,2792,
180.751,um^2,Surface,1,2793,
156.853,um^2,Surface,1,2794,
68.7733,um^2,Surface,1,2795,
398.091,um^2,Surface,1,2796,
98.4672,um^2,Surface,1,2797,
110.261,um^2,Surface,1,2798,
139.696,um^2,Surface,1,2799,
40.8813,um^2,Surface,1,2800,
447.802,um^2,Surface,1,2801,
54.9363,um^2,Surface,1,2802,
86.3187,um^2,Surface,1,2803,
81.0688,um^2,Surface,1,2804,
70.8576,um^2,Surface,1,2805,
82.1931,um^2,Surface,1,2806,
23.5792,um^2,Surface,1,2807,
149.579,um^2,Surface,1,2808,
60.9041,um^2,Surface,1,2809,
100.42,um^2,Surface,1,2810,
139.557,um^2,Surface,1,2811,
98.0404,um^2,Surface,1,2812,
66.6034,um^2,Surface,1,2813,
152.563,um^2,Surface,1,2814,
237.044,um^2,Surface,1,2815,
70.4853,um^2,Surface,1,2816,
73.3209,um^2,Surface,1,2817,
83.9779,um^2,Surface,1,2818,
59.9852,um^2,Surface,1,2819,
39.4082,um^2,Surface,1,2820,
67.6997,um^2,Surface,1,2821,
238.859,um^2,Surface,1,2822,
87.2478,um^2,Surface,1,2823,
102.554,um^2,Surface,1,2824,
136.147,um^2,Surface,1,2825,
424.742,um^2,Surface,1,2826,
124.972,um^2,Surface,1,2827,
72.8661,um^2,Surface,1,2828,
37.9457,um^2,Surface,1,2829,
32.774,um^2,Surface,1,2830,
153.152,um^2,Surface,1,2831,
82.8425,um^2,Surface,1,2832,
86.8748,um^2,Surface,1,2833,
88.1943,um^2,Surface,1,2834,
52.3057,um^2,Surface,1,2835,
76.7302,um^2,Surface,1,2836,
50.7071,um^2,Surface,1,2837,
232.722,um^2,Surface,1,2838,
55.6211,um^2,Surface,1,2839,
83.7011,um^2,Surface,1,2840,
27.5612,um^2,Surface,1,2841,
119.231,um^2,Surface,1,2842,
108.417,um^2,Surface,1,2843,
40.4045,um^2,Surface,1,2844,
83.5538,um^2,Surface,1,2845,
65.2844,um^2,Surface,1,2846,
174.289,um^2,Surface,1,2847,
138.671,um^2,Surface,1,2848,
74.0144,um^2,Surface,1,2849,
65.2349,um^2,Surface,1,2850,
157.616,um^2,Surface,1,2851,
67.6467,um^2,Surface,1,2852,
97.3401,um^2,Surface,1,2853,
52.6201,um^2,Surface,1,2854,
65.3006,um^2,Surface,1,2855,
209.625,um^2,Surface,1,2856,
80.9703,um^2,Surface,1,2857,
100.428,um^2,Surface,1,2858,
85.3609,um^2,Surface,1,2859,
52.8396,um^2,Surface,1,2860,
37.8862,um^2,Surface,1,2861,
96.3673,um^2,Surface,1,2862,
44.3337,um^2,Surface,1,2863,
53.14,um^2,Surface,1,2864,
72.3642,um^2,Surface,1,2865,
61.6866,um^2,Surface,1,2866,
194.78,um^2,Surface,1,2867,
111.345,um^2,Surface,1,2868,
37.2019,um^2,Surface,1,2869,
63.4246,um^2,Surface,1,2870,
33.1975,um^2,Surface,1,2871,
83.1621,um^2,Surface,1,2872,
64.0756,um^2,Surface,1,2873,
79.1569,um^2,Surface,1,2874,
37.9656,um^2,Surface,1,2875,
54.6032,um^2,Surface,1,2876,
140.864,um^2,Surface,1,2877,
64.6806,um^2,Surface,1,2878,
47.0049,um^2,Surface,1,2879,
85.7242,um^2,Surface,1,2880,
41.7727,um^2,Surface,1,2881,
58.0205,um^2,Surface,1,2882,
43.0336,um^2,Surface,1,2883,
64.4744,um^2,Surface,1,2884,
205.06,um^2,Surface,1,2885,
45.7289,um^2,Surface,1,2886,
72.9149,um^2,Surface,1,2887,
195.901,um^2,Surface,1,2888,
43.3501,um^2,Surface,1,2889,
45.0739,um^2,Surface,1,2890,
53.4272,um^2,Surface,1,2891,
61.7603,um^2,Surface,1,2892,
35.7887,um^2,Surface,1,2893,
35.2326,um^2,Surface,1,2894,
182.912,um^2,Surface,1,2895,
91.9825,um^2,Surface,1,2896,
88.179,um^2,Surface,1,2897,
37.6073,um^2,Surface,1,2898,
273.363,um^2,Surface,1,2899,
190.94,um^2,Surface,1,2900,
101.735,um^2,Surface,1,2901,
201.047,um^2,Surface,1,2902,
60.6514,um^2,Surface,1,2903,
199.055,um^2,Surface,1,2904,
159.564,um^2,Surface,1,2905,
52.9848,um^2,Surface,1,2906,
211.066,um^2,Surface,1,2907,
64.8339,um^2,Surface,1,2908,
90.8133,um^2,Surface,1,2909,
65.8445,um^2,Surface,1,2910,
82.2609,um^2,Surface,1,2911,
69.2796,um^2,Surface,1,2912,
249.484,um^2,Surface,1,2913,
579.596,um^2,Surface,1,2914,
51.693,um^2,Surface,1,2915,
130.694,um^2,Surface,1,2916,
186.526,um^2,Surface,1,2917,
81.7085,um^2,Surface,1,2918,
54.0457,um^2,Surface,1,2919,
104.985,um^2,Surface,1,2920,
169.293,um^2,Surface,1,2921,
92.2048,um^2,Surface,1,2922,
62.3474,um^2,Surface,1,2923,
358.133,um^2,Surface,1,2924,
131.339,um^2,Surface,1,2925,
37.5828,um^2,Surface,1,2926,
266.441,um^2,Surface,1,2927,
262.904,um^2,Surface,1,2928,
75.1609,um^2,Surface,1,2929,
100.772,um^2,Surface,1,2930,
217.442,um^2,Surface,1,2931,
203.18,um^2,Surface,1,2932,
314.337,um^2,Surface,1,2933,
58.9243,um^2,Surface,1,2934,
93.3797,um^2,Surface,1,2935,
53.725,um^2,Surface,1,2936,
46.2476,um^2,Surface,1,2937,
173.181,um^2,Surface,1,2938,
57.8362,um^2,Surface,1,2939,
342.332,um^2,Surface,1,2940,
68.6349,um^2,Surface,1,2941,
64.6232,um^2,Surface,1,2942,
212.247,um^2,Surface,1,2943,
116.077,um^2,Surface,1,2944,
42.4299,um^2,Surface,1,2945,
104.088,um^2,Surface,1,2946,
139.975,um^2,Surface,1,2947,
50.0691,um^2,Surface,1,2948,
85.6992,um^2,Surface,1,2949,
62.7209,um^2,Surface,1,2950,
62.0917,um^2,Surface,1,2951,
133.277,um^2,Surface,1,2952,
