
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,ID,
1,-2.04007e-05,-2.63312e-11,um,Surface,Ellipsoid Axis C,1,2543,
-0.175851,-0.984417,-1.56839e-12,um,Surface,Ellipsoid Axis C,1,2544,
-0.448162,0.893952,-3.61281e-12,um,Surface,Ellipsoid Axis C,1,2545,
0.573016,0.819544,-5.66945e-12,um,Surface,Ellipsoid Axis C,1,2546,
-0.847342,0.531047,1.81038e-11,um,Surface,Ellipsoid Axis C,1,2547,
-0.538469,0.842645,-7.86157e-13,um,Surface,Ellipsoid Axis C,1,2548,
0.807062,-0.590467,-9.51549e-13,um,Surface,Ellipsoid Axis C,1,2549,
-0.555645,-0.83142,9.17955e-13,um,Surface,Ellipsoid Axis C,1,2550,
-0.0972771,-0.995257,-2.53925e-12,um,Surface,Ellipsoid Axis C,1,2551,
-0.855258,0.518202,-1.61445e-12,um,Surface,Ellipsoid Axis C,1,2552,
0.876244,-0.481867,-8.74772e-14,um,Surface,Ellipsoid Axis C,1,2553,
0.839536,0.543303,-3.70811e-12,um,Surface,Ellipsoid Axis C,1,2554,
0.99367,0.112342,-2.51669e-12,um,Surface,Ellipsoid Axis C,1,2555,
0.934112,-0.356979,0,um,Surface,Ellipsoid Axis C,1,2556,
0.854677,-0.51916,1.48637e-12,um,Surface,Ellipsoid Axis C,1,2557,
0.260915,0.965362,2.9372e-13,um,Surface,Ellipsoid Axis C,1,2558,
0.77965,-0.626215,-4.16078e-12,um,Surface,Ellipsoid Axis C,1,2559,
-0.610942,-0.791676,-1.6065e-12,um,Surface,Ellipsoid Axis C,1,2560,
-0.460698,-0.887557,1.19214e-12,um,Surface,Ellipsoid Axis C,1,2561,
-0.795561,0.605874,-6.43991e-13,um,Surface,Ellipsoid Axis C,1,2562,
-0.134402,-0.990927,4.67526e-13,um,Surface,Ellipsoid Axis C,1,2563,
-0.294151,-0.955759,-5.38693e-12,um,Surface,Ellipsoid Axis C,1,2564,
0.964582,0.263783,-5.10499e-13,um,Surface,Ellipsoid Axis C,1,2565,
-0.123993,-0.992283,-4.88999e-12,um,Surface,Ellipsoid Axis C,1,2566,
-0.390866,-0.920448,-5.01155e-12,um,Surface,Ellipsoid Axis C,1,2567,
-0.0805748,-0.996749,7.23118e-12,um,Surface,Ellipsoid Axis C,1,2568,
0.76345,0.645867,0,um,Surface,Ellipsoid Axis C,1,2569,
0.853587,-0.52095,0,um,Surface,Ellipsoid Axis C,1,2570,
0.533515,0.845791,1.22418e-12,um,Surface,Ellipsoid Axis C,1,2571,
0.643233,-0.765671,6.46059e-12,um,Surface,Ellipsoid Axis C,1,2572,
0.338255,0.941055,-5.36732e-13,um,Surface,Ellipsoid Axis C,1,2573,
-0.975744,0.218916,3.01642e-12,um,Surface,Ellipsoid Axis C,1,2574,
0.521858,-0.853033,-1.40641e-12,um,Surface,Ellipsoid Axis C,1,2575,
0.903309,0.428991,3.50609e-13,um,Surface,Ellipsoid Axis C,1,2576,
0.94124,-0.337737,-7.84582e-12,um,Surface,Ellipsoid Axis C,1,2577,
-0.392394,-0.919797,5.45727e-12,um,Surface,Ellipsoid Axis C,1,2578,
0.790631,0.612293,-4.68825e-13,um,Surface,Ellipsoid Axis C,1,2579,
0.00325122,-0.999995,-9.35806e-13,um,Surface,Ellipsoid Axis C,1,2580,
0.0985883,0.995128,1.56078e-13,um,Surface,Ellipsoid Axis C,1,2581,
0.782827,-0.62224,4.2669e-13,um,Surface,Ellipsoid Axis C,1,2582,
0.976602,0.215057,0,um,Surface,Ellipsoid Axis C,1,2583,
0.979835,-0.199809,-7.16663e-13,um,Surface,Ellipsoid Axis C,1,2584,
-0.170771,-0.985311,3.81454e-12,um,Surface,Ellipsoid Axis C,1,2585,
0.440321,0.89784,2.53837e-12,um,Surface,Ellipsoid Axis C,1,2586,
0.377297,-0.926092,7.17059e-14,um,Surface,Ellipsoid Axis C,1,2587,
-0.954096,-0.2995,-2.06011e-12,um,Surface,Ellipsoid Axis C,1,2588,
0.294465,-0.955662,-4.44041e-12,um,Surface,Ellipsoid Axis C,1,2589,
0.087782,-0.99614,-1.61309e-12,um,Surface,Ellipsoid Axis C,1,2590,
0.94681,0.321793,-1.64459e-12,um,Surface,Ellipsoid Axis C,1,2591,
-0.316783,-0.948498,1.80686e-12,um,Surface,Ellipsoid Axis C,1,2592,
-0.353315,-0.935504,-3.32529e-12,um,Surface,Ellipsoid Axis C,1,2593,
-0.530628,-0.847605,1.83873e-12,um,Surface,Ellipsoid Axis C,1,2594,
0.892107,-0.451824,7.10198e-12,um,Surface,Ellipsoid Axis C,1,2595,
-0.707119,0.707095,-3.79436e-12,um,Surface,Ellipsoid Axis C,1,2596,
0.364368,0.931255,-3.669e-13,um,Surface,Ellipsoid Axis C,1,2597,
0.956318,-0.292329,2.41815e-12,um,Surface,Ellipsoid Axis C,1,2598,
0.20957,-0.977794,8.15782e-13,um,Surface,Ellipsoid Axis C,1,2599,
-0.485964,0.873979,-1.61046e-12,um,Surface,Ellipsoid Axis C,1,2600,
-2.04003e-05,-1,-3.58109e-16,um,Surface,Ellipsoid Axis C,1,2601,
-0.117179,-0.993111,5.30764e-13,um,Surface,Ellipsoid Axis C,1,2602,
0.0850509,-0.996377,2.04047e-12,um,Surface,Ellipsoid Axis C,1,2603,
0.76934,-0.638839,4.43901e-12,um,Surface,Ellipsoid Axis C,1,2604,
0.472628,-0.881262,-3.96009e-13,um,Surface,Ellipsoid Axis C,1,2605,
0.489377,-0.872073,1.54796e-12,um,Surface,Ellipsoid Axis C,1,2606,
-0.26006,0.965593,0,um,Surface,Ellipsoid Axis C,1,2607,
0.347679,0.937614,0,um,Surface,Ellipsoid Axis C,1,2608,
-0.571739,-0.820436,-2.72342e-12,um,Surface,Ellipsoid Axis C,1,2609,
0.78853,0.614996,-1.88243e-12,um,Surface,Ellipsoid Axis C,1,2610,
0.000143994,1,0,um,Surface,Ellipsoid Axis C,1,2611,
0.0986691,0.99512,2.7197e-12,um,Surface,Ellipsoid Axis C,1,2612,
0.98635,-0.164661,0,um,Surface,Ellipsoid Axis C,1,2613,
-0.956479,0.2918,-1.73664e-12,um,Surface,Ellipsoid Axis C,1,2614,
-0.481047,-0.876695,-8.19087e-13,um,Surface,Ellipsoid Axis C,1,2615,
0.982217,0.187751,2.01405e-12,um,Surface,Ellipsoid Axis C,1,2616,
-0.705421,-0.708788,-1.49427e-11,um,Surface,Ellipsoid Axis C,1,2617,
0.977009,-0.213196,-1.96283e-12,um,Surface,Ellipsoid Axis C,1,2618,
-0.375119,-0.926977,4.59054e-12,um,Surface,Ellipsoid Axis C,1,2619,
