
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
27.998,,Surface,3,Image 1,1,2964,
18.952,,Surface,3,Image 1,1,2965,
58,,Surface,3,Image 1,1,2966,
36.992,,Surface,3,Image 1,1,2967,
45.52,,Surface,3,Image 1,1,2968,
21.016,,Surface,3,Image 1,1,2969,
14,,Surface,3,Image 1,1,2970,
51.966,,Surface,3,Image 1,1,2971,
73.496,,Surface,3,Image 1,1,2972,
43.44,,Surface,3,Image 1,1,2973,
86.992,,Surface,3,Image 1,1,2974,
33.986,,Surface,3,Image 1,1,2975,
30.964,,Surface,3,Image 1,1,2976,
54.04,,Surface,3,Image 1,1,2977,
20.984,,Surface,3,Image 1,1,2978,
23.52,,Surface,3,Image 1,1,2979,
12.936,,Surface,3,Image 1,1,2980,
18.008,,Surface,3,Image 1,1,2981,
46.496,,Surface,3,Image 1,1,2982,
17.984,,Surface,3,Image 1,1,2983,
28.984,,Surface,3,Image 1,1,2984,
68.952,,Surface,3,Image 1,1,2985,
48.552,,Surface,3,Image 1,1,2986,
25.96,,Surface,3,Image 1,1,2987,
45.448,,Surface,3,Image 1,1,2988,
59.05,,Surface,3,Image 1,1,2989,
70.024,,Surface,3,Image 1,1,2990,
43.55,,Surface,3,Image 1,1,2991,
27.056,,Surface,3,Image 1,1,2992,
24.04,,Surface,3,Image 1,1,2993,
48.976,,Surface,3,Image 1,1,2994,
39.502,,Surface,3,Image 1,1,2995,
49.956,,Surface,3,Image 1,1,2996,
20,,Surface,3,Image 1,1,2997,
35.488,,Surface,3,Image 1,1,2998,
19.01,,Surface,3,Image 1,1,2999,
36,,Surface,3,Image 1,1,3000,
29.04,,Surface,3,Image 1,1,3001,
26.008,,Surface,3,Image 1,1,3002,
13.008,,Surface,3,Image 1,1,3003,
82.064,,Surface,3,Image 1,1,3004,
19.04,,Surface,3,Image 1,1,3005,
52.016,,Surface,3,Image 1,1,3006,
12.02,,Surface,3,Image 1,1,3007,
50.048,,Surface,3,Image 1,1,3008,
12,,Surface,3,Image 1,1,3009,
24.976,,Surface,3,Image 1,1,3010,
71,,Surface,3,Image 1,1,3011,
38.496,,Surface,3,Image 1,1,3012,
27.496,,Surface,3,Image 1,1,3013,
22.024,,Surface,3,Image 1,1,3014,
55.568,,Surface,3,Image 1,1,3015,
25.032,,Surface,3,Image 1,1,3016,
21.04,,Surface,3,Image 1,1,3017,
34.532,,Surface,3,Image 1,1,3018,
51.006,,Surface,3,Image 1,1,3019,
37.976,,Surface,3,Image 1,1,3020,
18.984,,Surface,3,Image 1,1,3021,
19.008,,Surface,3,Image 1,1,3022,
14.976,,Surface,3,Image 1,1,3023,
28.9945,,Surface,3,Image 1,1,3024,
33.004,,Surface,3,Image 1,1,3025,
13.048,,Surface,3,Image 1,1,3026,
32.984,,Surface,3,Image 1,1,3027,
12.968,,Surface,3,Image 1,1,3028,
45.552,,Surface,3,Image 1,1,3029,
53,,Surface,3,Image 1,1,3030,
24.04,,Surface,3,Image 1,1,3031,
19.0375,,Surface,3,Image 1,1,3032,
26.982,,Surface,3,Image 1,1,3033,
33.98,,Surface,3,Image 1,1,3034,
39.124,,Surface,3,Image 1,1,3035,
57.56,,Surface,3,Image 1,1,3036,
28.012,,Surface,3,Image 1,1,3037,
62.04,,Surface,3,Image 1,1,3038,
15.016,,Surface,3,Image 1,1,3039,
60.976,,Surface,3,Image 1,1,3040,
34.96,,Surface,3,Image 1,1,3041,
26.024,,Surface,3,Image 1,1,3042,
11.02,,Surface,3,Image 1,1,3043,
38.496,,Surface,3,Image 1,1,3044,
67.522,,Surface,3,Image 1,1,3045,
13.024,,Surface,3,Image 1,1,3046,
93,,Surface,3,Image 1,1,3047,
11,,Surface,3,Image 1,1,3048,
10.016,,Surface,3,Image 1,1,3049,
60.04,,Surface,3,Image 1,1,3050,
34.991,,Surface,3,Image 1,1,3051,
11.968,,Surface,3,Image 1,1,3052,
39.04,,Surface,3,Image 1,1,3053,
34.944,,Surface,3,Image 1,1,3054,
15.04,,Surface,3,Image 1,1,3055,
