
Intensity StdDev Ch=3 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
21.5314,,Surface,3,Image 1,1,2854,
1.82299,,Surface,3,Image 1,1,2855,
12.1219,,Surface,3,Image 1,1,2856,
15.2844,,Surface,3,Image 1,1,2857,
14.0171,,Surface,3,Image 1,1,2858,
32.4362,,Surface,3,Image 1,1,2859,
2.18283,,Surface,3,Image 1,1,2860,
29.5737,,Surface,3,Image 1,1,2861,
27.3542,,Surface,3,Image 1,1,2862,
26.0998,,Surface,3,Image 1,1,2863,
6.44996,,Surface,3,Image 1,1,2864,
16.5773,,Surface,3,Image 1,1,2865,
20.5605,,Surface,3,Image 1,1,2866,
5.97223,,Surface,3,Image 1,1,2867,
34.2002,,Surface,3,Image 1,1,2868,
6.90499,,Surface,3,Image 1,1,2869,
8.00687,,Surface,3,Image 1,1,2870,
9.46482,,Surface,3,Image 1,1,2871,
25.3457,,Surface,3,Image 1,1,2872,
7.9516,,Surface,3,Image 1,1,2873,
30.0021,,Surface,3,Image 1,1,2874,
15.4651,,Surface,3,Image 1,1,2875,
14.1593,,Surface,3,Image 1,1,2876,
25.5695,,Surface,3,Image 1,1,2877,
17.2164,,Surface,3,Image 1,1,2878,
26.7846,,Surface,3,Image 1,1,2879,
26.0962,,Surface,3,Image 1,1,2880,
15.1622,,Surface,3,Image 1,1,2881,
17.588,,Surface,3,Image 1,1,2882,
20.1736,,Surface,3,Image 1,1,2883,
8.6539,,Surface,3,Image 1,1,2884,
29.8156,,Surface,3,Image 1,1,2885,
6.81971,,Surface,3,Image 1,1,2886,
23.7612,,Surface,3,Image 1,1,2887,
23.1397,,Surface,3,Image 1,1,2888,
22.5203,,Surface,3,Image 1,1,2889,
33.7124,,Surface,3,Image 1,1,2890,
39.2444,,Surface,3,Image 1,1,2891,
27.5653,,Surface,3,Image 1,1,2892,
18.8623,,Surface,3,Image 1,1,2893,
15.0778,,Surface,3,Image 1,1,2894,
21.6874,,Surface,3,Image 1,1,2895,
25.9349,,Surface,3,Image 1,1,2896,
23.6485,,Surface,3,Image 1,1,2897,
18.693,,Surface,3,Image 1,1,2898,
26.1852,,Surface,3,Image 1,1,2899,
19.2929,,Surface,3,Image 1,1,2900,
32.6253,,Surface,3,Image 1,1,2901,
8.88878,,Surface,3,Image 1,1,2902,
5.01857,,Surface,3,Image 1,1,2903,
17.7104,,Surface,3,Image 1,1,2904,
32.5841,,Surface,3,Image 1,1,2905,
22.3057,,Surface,3,Image 1,1,2906,
20.3883,,Surface,3,Image 1,1,2907,
22.2255,,Surface,3,Image 1,1,2908,
17.9962,,Surface,3,Image 1,1,2909,
24.9732,,Surface,3,Image 1,1,2910,
34.0497,,Surface,3,Image 1,1,2911,
29.3317,,Surface,3,Image 1,1,2912,
26.6635,,Surface,3,Image 1,1,2913,
45.7553,,Surface,3,Image 1,1,2914,
14.8109,,Surface,3,Image 1,1,2915,
16.8903,,Surface,3,Image 1,1,2916,
31.0773,,Surface,3,Image 1,1,2917,
5.07957,,Surface,3,Image 1,1,2918,
3.12808,,Surface,3,Image 1,1,2919,
37.699,,Surface,3,Image 1,1,2920,
28.0643,,Surface,3,Image 1,1,2921,
25.7036,,Surface,3,Image 1,1,2922,
17.2886,,Surface,3,Image 1,1,2923,
14.772,,Surface,3,Image 1,1,2924,
17.892,,Surface,3,Image 1,1,2925,
13.0858,,Surface,3,Image 1,1,2926,
30.1714,,Surface,3,Image 1,1,2927,
27.2255,,Surface,3,Image 1,1,2928,
23.7813,,Surface,3,Image 1,1,2929,
18.318,,Surface,3,Image 1,1,2930,
16.711,,Surface,3,Image 1,1,2931,
27.8985,,Surface,3,Image 1,1,2932,
37.7785,,Surface,3,Image 1,1,2933,
21.6005,,Surface,3,Image 1,1,2934,
16.4745,,Surface,3,Image 1,1,2935,
22.8744,,Surface,3,Image 1,1,2936,
21.0068,,Surface,3,Image 1,1,2937,
27.4877,,Surface,3,Image 1,1,2938,
20.1549,,Surface,3,Image 1,1,2939,
29.2648,,Surface,3,Image 1,1,2940,
29.7125,,Surface,3,Image 1,1,2941,
41.682,,Surface,3,Image 1,1,2942,
27.559,,Surface,3,Image 1,1,2943,
25.7609,,Surface,3,Image 1,1,2944,
27.1758,,Surface,3,Image 1,1,2945,
30.0739,,Surface,3,Image 1,1,2946,
23.989,,Surface,3,Image 1,1,2947,
9.69974,,Surface,3,Image 1,1,2948,
16.2982,,Surface,3,Image 1,1,2949,
16.5128,,Surface,3,Image 1,1,2950,
19.4312,,Surface,3,Image 1,1,2951,
25.5487,,Surface,3,Image 1,1,2952,
18.6846,,Surface,3,Image 1,1,2953,
31.8091,,Surface,3,Image 1,1,2954,
16.2515,,Surface,3,Image 1,1,2955,
41.908,,Surface,3,Image 1,1,2956,
7.34193,,Surface,3,Image 1,1,2957,
17.8284,,Surface,3,Image 1,1,2958,
49.3135,,Surface,3,Image 1,1,2959,
22.7729,,Surface,3,Image 1,1,2960,
21.1769,,Surface,3,Image 1,1,2961,
28.438,,Surface,3,Image 1,1,2962,
24.7996,,Surface,3,Image 1,1,2963,
13.2979,,Surface,3,Image 1,1,2964,
35.5651,,Surface,3,Image 1,1,2965,
22.5837,,Surface,3,Image 1,1,2966,
11.0947,,Surface,3,Image 1,1,2967,
32.1648,,Surface,3,Image 1,1,2968,
13.6885,,Surface,3,Image 1,1,2969,
16.8883,,Surface,3,Image 1,1,2970,
19.7051,,Surface,3,Image 1,1,2971,
35.915,,Surface,3,Image 1,1,2972,
51.0844,,Surface,3,Image 1,1,2973,
27.6419,,Surface,3,Image 1,1,2974,
21.1568,,Surface,3,Image 1,1,2975,
20.2564,,Surface,3,Image 1,1,2976,
31.6929,,Surface,3,Image 1,1,2977,
6.94838,,Surface,3,Image 1,1,2978,
32.7067,,Surface,3,Image 1,1,2979,
20.504,,Surface,3,Image 1,1,2980,
6.05043,,Surface,3,Image 1,1,2981,
26.8988,,Surface,3,Image 1,1,2982,
21.99,,Surface,3,Image 1,1,2983,
46.0025,,Surface,3,Image 1,1,2984,
34.267,,Surface,3,Image 1,1,2985,
44.8043,,Surface,3,Image 1,1,2986,
20.2375,,Surface,3,Image 1,1,2987,
18.4765,,Surface,3,Image 1,1,2988,
40.3487,,Surface,3,Image 1,1,2989,
37.1876,,Surface,3,Image 1,1,2990,
19.4741,,Surface,3,Image 1,1,2991,
44.1392,,Surface,3,Image 1,1,2992,
15.7454,,Surface,3,Image 1,1,2993,
28.1587,,Surface,3,Image 1,1,2994,
36.1469,,Surface,3,Image 1,1,2995,
33.1727,,Surface,3,Image 1,1,2996,
5.52691,,Surface,3,Image 1,1,2997,
14.0295,,Surface,3,Image 1,1,2998,
7.53606,,Surface,3,Image 1,1,2999,
31.1611,,Surface,3,Image 1,1,3000,
18.1298,,Surface,3,Image 1,1,3001,
19.6315,,Surface,3,Image 1,1,3002,
11.2011,,Surface,3,Image 1,1,3003,
33.565,,Surface,3,Image 1,1,3004,
22.0356,,Surface,3,Image 1,1,3005,
26.2901,,Surface,3,Image 1,1,3006,
10.5978,,Surface,3,Image 1,1,3007,
31.1618,,Surface,3,Image 1,1,3008,
6.50378,,Surface,3,Image 1,1,3009,
23.0522,,Surface,3,Image 1,1,3010,
41.7629,,Surface,3,Image 1,1,3011,
20.9578,,Surface,3,Image 1,1,3012,
14.5969,,Surface,3,Image 1,1,3013,
12.528,,Surface,3,Image 1,1,3014,
33.9774,,Surface,3,Image 1,1,3015,
26.554,,Surface,3,Image 1,1,3016,
15.1112,,Surface,3,Image 1,1,3017,
20.7565,,Surface,3,Image 1,1,3018,
28.7052,,Surface,3,Image 1,1,3019,
29.6024,,Surface,3,Image 1,1,3020,
11.6715,,Surface,3,Image 1,1,3021,
18.4526,,Surface,3,Image 1,1,3022,
18.3467,,Surface,3,Image 1,1,3023,
12.2134,,Surface,3,Image 1,1,3024,
