
Number of Triangles
 ==================== 
Number of Triangles,Unit,Category,Time,ID,
180,,Surface,1,2887,
488,,Surface,1,2888,
104,,Surface,1,2889,
108,,Surface,1,2890,
128,,Surface,1,2891,
152,,Surface,1,2892,
88,,Surface,1,2893,
88,,Surface,1,2894,
448,,Surface,1,2895,
220,,Surface,1,2896,
216,,Surface,1,2897,
92,,Surface,1,2898,
676,,Surface,1,2899,
476,,Surface,1,2900,
244,,Surface,1,2901,
492,,Surface,1,2902,
148,,Surface,1,2903,
484,,Surface,1,2904,
388,,Surface,1,2905,
124,,Surface,1,2906,
512,,Surface,1,2907,
152,,Surface,1,2908,
220,,Surface,1,2909,
156,,Surface,1,2910,
196,,Surface,1,2911,
164,,Surface,1,2912,
616,,Surface,1,2913,
1444,,Surface,1,2914,
120,,Surface,1,2915,
320,,Surface,1,2916,
456,,Surface,1,2917,
204,,Surface,1,2918,
132,,Surface,1,2919,
248,,Surface,1,2920,
412,,Surface,1,2921,
224,,Surface,1,2922,
156,,Surface,1,2923,
892,,Surface,1,2924,
324,,Surface,1,2925,
92,,Surface,1,2926,
660,,Surface,1,2927,
660,,Surface,1,2928,
180,,Surface,1,2929,
244,,Surface,1,2930,
528,,Surface,1,2931,
492,,Surface,1,2932,
768,,Surface,1,2933,
144,,Surface,1,2934,
228,,Surface,1,2935,
132,,Surface,1,2936,
112,,Surface,1,2937,
420,,Surface,1,2938,
136,,Surface,1,2939,
852,,Surface,1,2940,
168,,Surface,1,2941,
156,,Surface,1,2942,
528,,Surface,1,2943,
276,,Surface,1,2944,
100,,Surface,1,2945,
252,,Surface,1,2946,
340,,Surface,1,2947,
120,,Surface,1,2948,
204,,Surface,1,2949,
152,,Surface,1,2950,
148,,Surface,1,2951,
328,,Surface,1,2952,
136,,Surface,1,2953,
756,,Surface,1,2954,
1544,,Surface,1,2955,
212,,Surface,1,2956,
152,,Surface,1,2957,
616,,Surface,1,2958,
928,,Surface,1,2959,
300,,Surface,1,2960,
276,,Surface,1,2961,
320,,Surface,1,2962,
960,,Surface,1,2963,
112,,Surface,1,2964,
2356,,Surface,1,2965,
292,,Surface,1,2966,
180,,Surface,1,2967,
156,,Surface,1,2968,
32,,Surface,1,2969,
1180,,Surface,1,2970,
184,,Surface,1,2971,
284,,Surface,1,2972,
340,,Surface,1,2973,
564,,Surface,1,2974,
236,,Surface,1,2975,
564,,Surface,1,2976,
528,,Surface,1,2977,
196,,Surface,1,2978,
136,,Surface,1,2979,
884,,Surface,1,2980,
156,,Surface,1,2981,
164,,Surface,1,2982,
1528,,Surface,1,2983,
1960,,Surface,1,2984,
528,,Surface,1,2985,
524,,Surface,1,2986,
500,,Surface,1,2987,
184,,Surface,1,2988,
660,,Surface,1,2989,
416,,Surface,1,2990,
292,,Surface,1,2991,
1868,,Surface,1,2992,
524,,Surface,1,2993,
164,,Surface,1,2994,
592,,Surface,1,2995,
1048,,Surface,1,2996,
140,,Surface,1,2997,
208,,Surface,1,2998,
168,,Surface,1,2999,
1444,,Surface,1,3000,
1628,,Surface,1,3001,
308,,Surface,1,3002,
1800,,Surface,1,3003,
164,,Surface,1,3004,
1376,,Surface,1,3005,
400,,Surface,1,3006,
4680,,Surface,1,3007,
640,,Surface,1,3008,
2828,,Surface,1,3009,
2236,,Surface,1,3010,
172,,Surface,1,3011,
484,,Surface,1,3012,
732,,Surface,1,3013,
1028,,Surface,1,3014,
576,,Surface,1,3015,
1048,,Surface,1,3016,
244,,Surface,1,3017,
180,,Surface,1,3018,
1264,,Surface,1,3019,
252,,Surface,1,3020,
180,,Surface,1,3021,
3704,,Surface,1,3022,
1120,,Surface,1,3023,
172,,Surface,1,3024,
200,,Surface,1,3025,
1568,,Surface,1,3026,
488,,Surface,1,3027,
4284,,Surface,1,3028,
100,,Surface,1,3029,
92,,Surface,1,3030,
980,,Surface,1,3031,
744,,Surface,1,3032,
348,,Surface,1,3033,
204,,Surface,1,3034,
732,,Surface,1,3035,
580,,Surface,1,3036,
952,,Surface,1,3037,
216,,Surface,1,3038,
300,,Surface,1,3039,
1060,,Surface,1,3040,
892,,Surface,1,3041,
1864,,Surface,1,3042,
2212,,Surface,1,3043,
312,,Surface,1,3044,
128,,Surface,1,3045,
1968,,Surface,1,3046,
856,,Surface,1,3047,
188,,Surface,1,3048,
2220,,Surface,1,3049,
1084,,Surface,1,3050,
344,,Surface,1,3051,
7524,,Surface,1,3052,
800,,Surface,1,3053,
468,,Surface,1,3054,
3556,,Surface,1,3055,
804,,Surface,1,3056,
824,,Surface,1,3057,
492,,Surface,1,3058,
356,,Surface,1,3059,
228,,Surface,1,3060,
260,,Surface,1,3061,
696,,Surface,1,3062,
272,,Surface,1,3063,
380,,Surface,1,3064,
380,,Surface,1,3065,
384,,Surface,1,3066,
828,,Surface,1,3067,
300,,Surface,1,3068,
600,,Surface,1,3069,
240,,Surface,1,3070,
252,,Surface,1,3071,
148,,Surface,1,3072,
1140,,Surface,1,3073,
904,,Surface,1,3074,
1560,,Surface,1,3075,
448,,Surface,1,3076,
836,,Surface,1,3077,
484,,Surface,1,3078,
1068,,Surface,1,3079,
152,,Surface,1,3080,
1412,,Surface,1,3081,
92,,Surface,1,3082,
492,,Surface,1,3083,
276,,Surface,1,3084,
272,,Surface,1,3085,
364,,Surface,1,3086,
232,,Surface,1,3087,
496,,Surface,1,3088,
4824,,Surface,1,3089,
588,,Surface,1,3090,
188,,Surface,1,3091,
212,,Surface,1,3092,
84,,Surface,1,3093,
540,,Surface,1,3094,
992,,Surface,1,3095,
392,,Surface,1,3096,
408,,Surface,1,3097,
164,,Surface,1,3098,
716,,Surface,1,3099,
748,,Surface,1,3100,
308,,Surface,1,3101,
476,,Surface,1,3102,
132,,Surface,1,3103,
1816,,Surface,1,3104,
588,,Surface,1,3105,
1012,,Surface,1,3106,
308,,Surface,1,3107,
712,,Surface,1,3108,
696,,Surface,1,3109,
308,,Surface,1,3110,
264,,Surface,1,3111,
344,,Surface,1,3112,
1404,,Surface,1,3113,
252,,Surface,1,3114,
436,,Surface,1,3115,
736,,Surface,1,3116,
128,,Surface,1,3117,
472,,Surface,1,3118,
156,,Surface,1,3119,
780,,Surface,1,3120,
204,,Surface,1,3121,
636,,Surface,1,3122,
220,,Surface,1,3123,
496,,Surface,1,3124,
224,,Surface,1,3125,
332,,Surface,1,3126,
248,,Surface,1,3127,
652,,Surface,1,3128,
524,,Surface,1,3129,
392,,Surface,1,3130,
264,,Surface,1,3131,
444,,Surface,1,3132,
292,,Surface,1,3133,
80,,Surface,1,3134,
592,,Surface,1,3135,
1124,,Surface,1,3136,
320,,Surface,1,3137,
448,,Surface,1,3138,
512,,Surface,1,3139,
200,,Surface,1,3140,
228,,Surface,1,3141,
412,,Surface,1,3142,
1604,,Surface,1,3143,
216,,Surface,1,3144,
3908,,Surface,1,3145,
452,,Surface,1,3146,
276,,Surface,1,3147,
4796,,Surface,1,3148,
188,,Surface,1,3149,
240,,Surface,1,3150,
348,,Surface,1,3151,
820,,Surface,1,3152,
96,,Surface,1,3153,
508,,Surface,1,3154,
408,,Surface,1,3155,
316,,Surface,1,3156,
22940,,Surface,1,3157,
124,,Surface,1,3158,
564,,Surface,1,3159,
568,,Surface,1,3160,
172,,Surface,1,3161,
968,,Surface,1,3162,
1292,,Surface,1,3163,
1736,,Surface,1,3164,
1288,,Surface,1,3165,
364,,Surface,1,3166,
2408,,Surface,1,3167,
452,,Surface,1,3168,
1044,,Surface,1,3169,
408,,Surface,1,3170,
204,,Surface,1,3171,
312,,Surface,1,3172,
4072,,Surface,1,3173,
112,,Surface,1,3174,
440,,Surface,1,3175,
268,,Surface,1,3176,
300,,Surface,1,3177,
228,,Surface,1,3178,
2256,,Surface,1,3179,
324,,Surface,1,3180,
780,,Surface,1,3181,
456,,Surface,1,3182,
7312,,Surface,1,3183,
272,,Surface,1,3184,
232,,Surface,1,3185,
200,,Surface,1,3186,
480,,Surface,1,3187,
704,,Surface,1,3188,
1076,,Surface,1,3189,
344,,Surface,1,3190,
784,,Surface,1,3191,
5156,,Surface,1,3192,
244,,Surface,1,3193,
948,,Surface,1,3194,
1000,,Surface,1,3195,
5144,,Surface,1,3196,
3532,,Surface,1,3197,
592,,Surface,1,3198,
992,,Surface,1,3199,
852,,Surface,1,3200,
616,,Surface,1,3201,
256,,Surface,1,3202,
1004,,Surface,1,3203,
724,,Surface,1,3204,
412,,Surface,1,3205,
576,,Surface,1,3206,
136,,Surface,1,3207,
336,,Surface,1,3208,
456,,Surface,1,3209,
172,,Surface,1,3210,
152,,Surface,1,3211,
144,,Surface,1,3212,
132,,Surface,1,3213,
912,,Surface,1,3214,
152,,Surface,1,3215,
420,,Surface,1,3216,
796,,Surface,1,3217,
204,,Surface,1,3218,
276,,Surface,1,3219,
392,,Surface,1,3220,
476,,Surface,1,3221,
488,,Surface,1,3222,
100,,Surface,1,3223,
120,,Surface,1,3224,
388,,Surface,1,3225,
