
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,ID,
-0.791676,0.610942,-7.74551e-12,um,Surface,Ellipsoid Axis B,1,2560,
-0.887557,0.460698,3.65814e-12,um,Surface,Ellipsoid Axis B,1,2561,
-0.605874,-0.795561,-1.29624e-12,um,Surface,Ellipsoid Axis B,1,2562,
-0.990927,0.134402,8.25969e-12,um,Surface,Ellipsoid Axis B,1,2563,
0.955759,-0.294151,1.38593e-11,um,Surface,Ellipsoid Axis B,1,2564,
-0.263783,0.964582,1.70975e-13,um,Surface,Ellipsoid Axis B,1,2565,
0.992283,-0.123993,-6.09769e-12,um,Surface,Ellipsoid Axis B,1,2566,
0.920448,-0.390866,4.80681e-12,um,Surface,Ellipsoid Axis B,1,2567,
0.996749,-0.0805748,1.36761e-11,um,Surface,Ellipsoid Axis B,1,2568,
-0.645867,0.76345,0,um,Surface,Ellipsoid Axis B,1,2569,
0.52095,0.853587,0,um,Surface,Ellipsoid Axis B,1,2570,
0.845791,-0.533515,-1.49225e-12,um,Surface,Ellipsoid Axis B,1,2571,
-0.765671,-0.643233,2.25892e-11,um,Surface,Ellipsoid Axis B,1,2572,
0.941055,-0.338255,-1.51783e-11,um,Surface,Ellipsoid Axis B,1,2573,
-0.218916,-0.975744,6.73925e-12,um,Surface,Ellipsoid Axis B,1,2574,
-0.853033,-0.521858,5.87109e-12,um,Surface,Ellipsoid Axis B,1,2575,
0.428991,-0.903309,-1.60198e-11,um,Surface,Ellipsoid Axis B,1,2576,
0.337737,0.94124,-2.26455e-12,um,Surface,Ellipsoid Axis B,1,2577,
0.919797,-0.392394,-4.23997e-13,um,Surface,Ellipsoid Axis B,1,2578,
0.612293,-0.790631,-8.83316e-12,um,Surface,Ellipsoid Axis B,1,2579,
-0.999995,-0.00325122,-6.56571e-12,um,Surface,Ellipsoid Axis B,1,2580,
0.995128,-0.0985883,-4.41484e-12,um,Surface,Ellipsoid Axis B,1,2581,
-0.62224,-0.782827,-6.10742e-12,um,Surface,Ellipsoid Axis B,1,2582,
-0.215057,0.976602,0,um,Surface,Ellipsoid Axis B,1,2583,
0.199809,0.979835,1.21402e-12,um,Surface,Ellipsoid Axis B,1,2584,
-0.985311,0.170771,7.35019e-12,um,Surface,Ellipsoid Axis B,1,2585,
0.89784,-0.440321,-1.97174e-12,um,Surface,Ellipsoid Axis B,1,2586,
-0.926092,-0.377297,1.10648e-12,um,Surface,Ellipsoid Axis B,1,2587,
0.2995,-0.954096,2.02835e-12,um,Surface,Ellipsoid Axis B,1,2588,
0.955662,0.294465,9.54182e-12,um,Surface,Ellipsoid Axis B,1,2589,
-0.99614,-0.087782,-8.0917e-12,um,Surface,Ellipsoid Axis B,1,2590,
-0.321793,0.94681,9.90849e-13,um,Surface,Ellipsoid Axis B,1,2591,
0.948498,-0.316783,-6.09106e-12,um,Surface,Ellipsoid Axis B,1,2592,
-0.935504,0.353315,-1.02346e-11,um,Surface,Ellipsoid Axis B,1,2593,
