
Center of Image Mass Ch=3 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,ID,
49896.4,38266.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2716,
50306.1,37853.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2717,
50434.7,37731.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2718,
49893,38278.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2719,
49886.3,38286.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2720,
49904.9,38278.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2721,
49929.3,38245.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2722,
50094.9,38090.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2723,
50193.4,37998.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2724,
50103.2,38084.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2725,
50189,38006.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2726,
50330.1,37666.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2727,
50393.1,37606.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2728,
50251.1,37765.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2729,
50340.8,37681.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2730,
50350.7,37679.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2731,
50363.8,37669.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2732,
50344.3,37695,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2733,
50347.7,37703.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2734,
50422.8,37650.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2735,
50370.4,37720.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2736,
50476.2,37388.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2737,
50292.3,37560,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2738,
50400.2,37453.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2739,
50520.4,37333.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2740,
50127.7,37740.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2741,
50461.6,37410,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2742,
50507.2,37374.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2743,
50473.9,37409.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2744,
50369.4,37509.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2745,
50367.3,37519.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2746,
50517.4,37399.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2747,
50497.7,37419.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2748,
50497.3,37438.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2749,
50510.3,37422.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2750,
50369.7,37566.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2751,
