
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.542673,,Surface,1,2744,
0.686765,,Surface,1,2745,
0.704631,,Surface,1,2746,
0.513288,,Surface,1,2747,
0.598821,,Surface,1,2748,
0.55146,,Surface,1,2749,
0.653085,,Surface,1,2750,
0.621851,,Surface,1,2751,
0.616588,,Surface,1,2752,
0.731306,,Surface,1,2753,
0.73413,,Surface,1,2754,
0.701438,,Surface,1,2755,
0.651848,,Surface,1,2756,
0.545702,,Surface,1,2757,
0.755103,,Surface,1,2758,
0.873585,,Surface,1,2759,
0.66656,,Surface,1,2760,
0.46374,,Surface,1,2761,
0.713794,,Surface,1,2762,
0.740106,,Surface,1,2763,
0.729518,,Surface,1,2764,
0.82414,,Surface,1,2765,
0.579018,,Surface,1,2766,
0.806804,,Surface,1,2767,
0.550022,,Surface,1,2768,
0.641791,,Surface,1,2769,
0.795123,,Surface,1,2770,
0.857385,,Surface,1,2771,
0.68711,,Surface,1,2772,
0.562646,,Surface,1,2773,
0.602622,,Surface,1,2774,
0.570473,,Surface,1,2775,
0.65187,,Surface,1,2776,
0.86942,,Surface,1,2777,
0.764857,,Surface,1,2778,
0.701469,,Surface,1,2779,
0.758389,,Surface,1,2780,
0.553596,,Surface,1,2781,
0.670934,,Surface,1,2782,
0.676529,,Surface,1,2783,
0.630378,,Surface,1,2784,
0.858635,,Surface,1,2785,
0.625007,,Surface,1,2786,
0.618397,,Surface,1,2787,
0.813189,,Surface,1,2788,
0.65034,,Surface,1,2789,
0.758485,,Surface,1,2790,
0.852622,,Surface,1,2791,
0.567327,,Surface,1,2792,
0.618825,,Surface,1,2793,
0.637634,,Surface,1,2794,
0.676831,,Surface,1,2795,
0.537033,,Surface,1,2796,
0.7528,,Surface,1,2797,
0.738696,,Surface,1,2798,
0.641018,,Surface,1,2799,
0.8632,,Surface,1,2800,
0.535436,,Surface,1,2801,
0.828432,,Surface,1,2802,
0.737443,,Surface,1,2803,
0.746784,,Surface,1,2804,
0.811366,,Surface,1,2805,
0.763526,,Surface,1,2806,
0.886378,,Surface,1,2807,
0.684465,,Surface,1,2808,
0.821556,,Surface,1,2809,
0.668444,,Surface,1,2810,
0.656643,,Surface,1,2811,
0.760626,,Surface,1,2812,
0.802893,,Surface,1,2813,
0.664046,,Surface,1,2814,
0.591998,,Surface,1,2815,
0.805801,,Surface,1,2816,
0.743886,,Surface,1,2817,
0.687918,,Surface,1,2818,
0.826984,,Surface,1,2819,
0.87666,,Surface,1,2820,
0.802813,,Surface,1,2821,
0.582497,,Surface,1,2822,
0.777357,,Surface,1,2823,
0.660301,,Surface,1,2824,
0.69348,,Surface,1,2825,
0.541531,,Surface,1,2826,
0.700896,,Surface,1,2827,
