
Intensity Center Ch=5 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
121,,Surface,5,Image 1,1,2636,
134,,Surface,5,Image 1,1,2637,
125,,Surface,5,Image 1,1,2638,
119,,Surface,5,Image 1,1,2639,
120,,Surface,5,Image 1,1,2640,
128,,Surface,5,Image 1,1,2641,
96,,Surface,5,Image 1,1,2642,
136,,Surface,5,Image 1,1,2643,
109,,Surface,5,Image 1,1,2644,
111,,Surface,5,Image 1,1,2645,
135,,Surface,5,Image 1,1,2646,
145,,Surface,5,Image 1,1,2647,
126,,Surface,5,Image 1,1,2648,
141,,Surface,5,Image 1,1,2649,
126,,Surface,5,Image 1,1,2650,
99,,Surface,5,Image 1,1,2651,
92,,Surface,5,Image 1,1,2652,
117,,Surface,5,Image 1,1,2653,
141,,Surface,5,Image 1,1,2654,
80,,Surface,5,Image 1,1,2655,
128,,Surface,5,Image 1,1,2656,
118,,Surface,5,Image 1,1,2657,
119,,Surface,5,Image 1,1,2658,
86,,Surface,5,Image 1,1,2659,
104,,Surface,5,Image 1,1,2660,
110,,Surface,5,Image 1,1,2661,
144,,Surface,5,Image 1,1,2662,
107,,Surface,5,Image 1,1,2663,
127,,Surface,5,Image 1,1,2664,
114,,Surface,5,Image 1,1,2665,
126,,Surface,5,Image 1,1,2666,
144,,Surface,5,Image 1,1,2667,
127,,Surface,5,Image 1,1,2668,
138,,Surface,5,Image 1,1,2669,
73,,Surface,5,Image 1,1,2670,
116,,Surface,5,Image 1,1,2671,
99,,Surface,5,Image 1,1,2672,
123,,Surface,5,Image 1,1,2673,
107,,Surface,5,Image 1,1,2674,
118,,Surface,5,Image 1,1,2675,
124,,Surface,5,Image 1,1,2676,
135,,Surface,5,Image 1,1,2677,
102,,Surface,5,Image 1,1,2678,
124,,Surface,5,Image 1,1,2679,
118,,Surface,5,Image 1,1,2680,
119,,Surface,5,Image 1,1,2681,
167,,Surface,5,Image 1,1,2682,
141,,Surface,5,Image 1,1,2683,
