Area, CD68/CD163405S, HLA-DR488, CD45568, Hematoxylin, Position X, Position Y, Sphericity, Volume
180.668, 37.2256, 18.2226, 14.9055, 151.082, 102474, 35052.8, 0.633893, 115.244
135.003, 50.5159, 37.5317, 23.9841, 150.044, 102483, 35046.8, 0.711853, 88.5875
127.989, 48.4194, 27.1089, 15.5403, 150.129, 102864, 34666.4, 0.725563, 84.1487
131.773, 47.7305, 33.3438, 5.66406, 158.348, 102667, 34811.1, 0.72341, 87.5169
75.4786, 39.0735, 65.1765, 19.1103, 147.162, 102691, 34787.5, 0.787389, 43.0818
70.2621, 48.6694, 16.0726, 3.57258, 155.089, 102530, 34962.4, 0.817998, 40.9716
98.7053, 43.0417, 13.5952, 18.25, 156.649, 102531, 34893.6, 0.727077, 57.1683
131.167, 64.6855, 13.6532, 16.5968, 159.516, 102467, 34958.3, 0.713014, 85.0466
127.908, 57.3156, 29.5779, 22.8934, 155.02, 102753, 34684.2, 0.724272, 83.8446
137.604, 75.9478, 27.6642, 9.26493, 147.466, 102707, 34745.4, 0.717671, 92.2804
58.3902, 45.4135, 9.97115, 6.30769, 158.327, 102486, 34965.7, 0.831689, 31.8218
179.057, 50.8198, 23.436, 9.06977, 151.642, 102828, 34634.3, 0.655829, 119.659
161.315, 40.3182, 22.0487, 27.5617, 148.591, 102701, 34701.9, 0.667138, 104.981
69.6737, 42.3448, 18.069, 2.66379, 156.905, 102611, 34794.4, 0.789502, 38.3625
95.5984, 41.6548, 35.6726, 14.5417, 133.75, 102709, 34702.5, 0.749885, 57.0744
175.31, 58.8059, 15.0647, 9.12353, 158.906, 102520, 34897, 0.666803, 118.845
142.901, 49.7174, 17.1558, 15.8116, 154.851, 102506, 34913.8, 0.708433, 95.7801
206.378, 55.0808, 16.2273, 41.8333, 150.823, 102521, 34851.3, 0.635052, 141.086
226.755, 96.7775, 20.4746, 21.928, 144.706, 102616, 34758.1, 0.64466, 166.19
57.0937, 53.2083, 16.2292, 8.78125, 147.646, 102603, 34770, 0.831951, 30.7824
122.682, 45.6754, 22.6053, 11.6711, 155.82, 102530, 34847.7, 0.721907, 78.3726
73.8456, 43.8409, 31.1364, 5.12121, 151.644, 102692, 34688.1, 0.809162, 43.4324
88.2119, 47.125, 22.3438, 7.30625, 156.113, 102542, 34843.4, 0.778206, 53.4818
153.386, 38.38, 22.2167, 3.32667, 140.927, 102616, 34740.4, 0.697784, 104.121
95.1322, 38.7326, 45.1453, 12.3547, 148.029, 102634, 34725.5, 0.758554, 57.6428
314.682, 39.6855, 31.8452, 17.3774, 144.582, 102759, 34616.5, 0.561932, 221.11
353.275, 34.571, 30.6265, 14.1204, 138.281, 102623, 34715.8, 0.504461, 223.71
454.049, 69.5239, 23.8783, 13.6609, 152.151, 102543, 34813.1, 0.504888, 326.378
76.9448, 40.3929, 18.3786, 18.45, 147.114, 102615, 34728.3, 0.800678, 45.4704
101.508, 69.2128, 18.9415, 17.1649, 151.644, 102511, 34836.7, 0.767899, 64.7117
71.4577, 44.1, 13.3667, 11.0083, 152.65, 102552, 34800.2, 0.805298, 41.047
178.653, 58.1782, 22.0805, 7.60632, 149.951, 102809, 34487.8, 0.670868, 123.38
163.602, 54.193, 17.2437, 11.4873, 151.706, 102816, 34482.7, 0.682289, 110.894
255.268, 37.1472, 22.125, 5.59073, 147.774, 102465, 34838, 0.587321, 172.616
121.154, 48.5921, 30.1447, 18.8684, 151.272, 102643, 34655.1, 0.737423, 79.4064
170.765, 52.9048, 26.9018, 15.5268, 149.622, 102805, 34505, 0.680712, 117.846
409.436, 45.0969, 41.5431, 9.98206, 146.701, 102634, 34668.5, 0.523967, 295.467
78.1768, 43.1912, 16.7794, 15.8015, 156.346, 102711, 34514.4, 0.793771, 45.9656
110.393, 39.1415, 29.3679, 8.11792, 148.991, 102684, 34547.5, 0.749296, 70.7398
258.286, 71.8168, 23.1164, 15.1775, 145.223, 102770, 34477.7, 0.613116, 187.387
103.216, 40.7347, 15.6633, 10.102, 155.071, 102804, 34442, 0.758378, 65.1214
104.875, 34.163, 46.0054, 4.57609, 139.946, 102647, 34378.4, 0.712859, 60.7835
221.031, 80.0174, 31.7913, 15.613, 155.559, 102658, 34394.4, 0.648276, 161.284
151.36, 89.2033, 14.66, 10.73, 154.31, 102734, 34329.6, 0.707541, 104.212
93.7048, 45.0341, 22.8011, 14.4205, 143.25, 102668, 34402.6, 0.768525, 57.465
250.869, 111.363, 24.5916, 23.437, 151.059, 102796, 34314.6, 0.629077, 186.423
131.132, 67.3611, 23.8373, 16.0437, 160.31, 102717, 34405.3, 0.731816, 88.3979
184.778, 73.0951, 25.5897, 26.25, 153.024, 102665, 34282.4, 0.670752, 129.745
227.302, 54.1557, 24.8092, 11.6009, 158.638, 102654, 34350.7, 0.625607, 159.453
245.611, 39.994, 29.856, 16.758, 145.136, 102699, 34217.1, 0.615259, 174.676
90.6027, 45.5298, 28.3512, 11, 144.137, 102662, 34257.8, 0.775204, 55.349
155.756, 56.0461, 23.8487, 10.4112, 142.974, 102693, 34238.4, 0.688454, 104.413
