
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,ID,
2.00075,7.48438,15.1641,um,Surface,BoundingBoxOO Length,1,276,
2.0043,6.08594,8.00781,um,Surface,BoundingBoxOO Length,1,277,
2.00116,11.5273,24.2266,um,Surface,BoundingBoxOO Length,1,278,
2.00251,6.73438,10.7676,um,Surface,BoundingBoxOO Length,1,279,
2.00565,5.61719,6.59375,um,Surface,BoundingBoxOO Length,1,280,
2.00299,8.36328,10.5,um,Surface,BoundingBoxOO Length,1,281,
2.00318,6.625,8.36719,um,Surface,BoundingBoxOO Length,1,282,
2.00432,5.74219,10.0391,um,Surface,BoundingBoxOO Length,1,283,
2.00174,8.71875,16.875,um,Surface,BoundingBoxOO Length,1,284,
2.00236,6.82813,14.0273,um,Surface,BoundingBoxOO Length,1,285,
2.0059,6.67969,7.76172,um,Surface,BoundingBoxOO Length,1,286,
2.0022,4.27344,7.04688,um,Surface,BoundingBoxOO Length,1,287,
2.0018,8.02344,9.44922,um,Surface,BoundingBoxOO Length,1,288,
2.00223,6.44531,7.71094,um,Surface,BoundingBoxOO Length,1,289,
2.00178,8.76953,12.2344,um,Surface,BoundingBoxOO Length,1,290,
2.00216,8.94531,9.16406,um,Surface,BoundingBoxOO Length,1,291,
2.00214,9.73438,12.8672,um,Surface,BoundingBoxOO Length,1,292,
2.00999,6.72656,7.25781,um,Surface,BoundingBoxOO Length,1,293,
2.00166,12.1172,11.7344,um,Surface,BoundingBoxOO Length,1,294,
2.00195,7.82813,13.3359,um,Surface,BoundingBoxOO Length,1,295,
2.00448,5.83594,9.84766,um,Surface,BoundingBoxOO Length,1,296,
2.00201,6.30273,11.4141,um,Surface,BoundingBoxOO Length,1,297,
2.00201,4.30273,5.46094,um,Surface,BoundingBoxOO Length,1,298,
2.00204,6.16406,6.42578,um,Surface,BoundingBoxOO Length,1,299,
2.00106,5.5625,10.0625,um,Surface,BoundingBoxOO Length,1,300,
2.00147,7.14844,15.75,um,Surface,BoundingBoxOO Length,1,301,
2.00368,4.5625,6.00781,um,Surface,BoundingBoxOO Length,1,302,
2.00135,10.4297,19,um,Surface,BoundingBoxOO Length,1,303,
2.00534,6.5625,8.73438,um,Surface,BoundingBoxOO Length,1,304,
2.0002,13.0684,15.4609,um,Surface,BoundingBoxOO Length,1,305,
2.00369,5.33594,6.93359,um,Surface,BoundingBoxOO Length,1,306,
2.00061,5.60156,9.10156,um,Surface,BoundingBoxOO Length,1,307,
2.00136,9.22656,13.9414,um,Surface,BoundingBoxOO Length,1,308,
2.0052,5.46875,6.25781,um,Surface,BoundingBoxOO Length,1,309,
2.00273,6.12305,8.03125,um,Surface,BoundingBoxOO Length,1,310,
2.00087,14.2695,17.4766,um,Surface,BoundingBoxOO Length,1,311,
2.00085,8.91406,22.3164,um,Surface,BoundingBoxOO Length,1,312,
2.01422,3.73438,6.35547,um,Surface,BoundingBoxOO Length,1,313,
2.003,10.6797,16.9297,um,Surface,BoundingBoxOO Length,1,314,
2.00489,6.25781,7.01563,um,Surface,BoundingBoxOO Length,1,315,
2.00402,6.76563,8.96484,um,Surface,BoundingBoxOO Length,1,316,
2.00126,7.70313,11.793,um,Surface,BoundingBoxOO Length,1,317,
2.00184,10.8984,19.5078,um,Surface,BoundingBoxOO Length,1,318,
2.00302,6.53125,6.88672,um,Surface,BoundingBoxOO Length,1,319,
2.00064,5.00781,6.84375,um,Surface,BoundingBoxOO Length,1,320,
2.00494,4.67969,6.30273,um,Surface,BoundingBoxOO Length,1,321,
2.0047,5.13281,7.44531,um,Surface,BoundingBoxOO Length,1,322,
2.00032,7.78906,12.7109,um,Surface,BoundingBoxOO Length,1,323,
2.00317,9.82031,10.1094,um,Surface,BoundingBoxOO Length,1,324,
2.00113,6.4375,8.75391,um,Surface,BoundingBoxOO Length,1,325,
2.00819,6.875,8.16406,um,Surface,BoundingBoxOO Length,1,326,
2.0014,11.25,14.082,um,Surface,BoundingBoxOO Length,1,327,
2.00245,8.44531,13.0781,um,Surface,BoundingBoxOO Length,1,328,
2.00504,6.44531,10.375,um,Surface,BoundingBoxOO Length,1,329,
2.0007,6.20313,9.4375,um,Surface,BoundingBoxOO Length,1,330,
2.00134,6.96094,8.58203,um,Surface,BoundingBoxOO Length,1,331,
2.007,4.28125,7.15234,um,Surface,BoundingBoxOO Length,1,332,
2.00117,5.28125,5.875,um,Surface,BoundingBoxOO Length,1,333,
2.00132,4.38281,10.1797,um,Surface,BoundingBoxOO Length,1,334,
2.0064,6.14063,10.1875,um,Surface,BoundingBoxOO Length,1,335,
2.00377,6.84375,8.69531,um,Surface,BoundingBoxOO Length,1,336,
2.00284,7.0918,9.57031,um,Surface,BoundingBoxOO Length,1,337,
2.00257,4.59375,4.92188,um,Surface,BoundingBoxOO Length,1,338,
2.00379,8.41406,11.4688,um,Surface,BoundingBoxOO Length,1,339,
2.00192,6.78125,12.3672,um,Surface,BoundingBoxOO Length,1,340,
2.00481,4.55469,7.35742,um,Surface,BoundingBoxOO Length,1,341,
2.0048,5.76563,8.58594,um,Surface,BoundingBoxOO Length,1,342,
2.00182,6.65625,12.3418,um,Surface,BoundingBoxOO Length,1,343,
2.00172,6.85938,10.3555,um,Surface,BoundingBoxOO Length,1,344,
2.00113,9.62891,13.1875,um,Surface,BoundingBoxOO Length,1,345,
2.00126,10.8594,11.2266,um,Surface,BoundingBoxOO Length,1,346,
2.01129,4.40625,5.35156,um,Surface,BoundingBoxOO Length,1,347,
2.00386,5.92188,9.78125,um,Surface,BoundingBoxOO Length,1,348,
2.00507,5.59375,6,um,Surface,BoundingBoxOO Length,1,349,
2.00367,5.95313,6.54688,um,Surface,BoundingBoxOO Length,1,350,
2.00429,7.48438,9.50195,um,Surface,BoundingBoxOO Length,1,351,
2.00291,5.38281,8.61328,um,Surface,BoundingBoxOO Length,1,352,
2.003,11.6484,15.4336,um,Surface,BoundingBoxOO Length,1,353,
2.00129,13.7344,19.9453,um,Surface,BoundingBoxOO Length,1,354,
2.00135,14.3516,25.6406,um,Surface,BoundingBoxOO Length,1,355,
2.00028,5.69922,6.40625,um,Surface,BoundingBoxOO Length,1,356,
2.00053,6.60547,7.16406,um,Surface,BoundingBoxOO Length,1,357,
2.00459,4.85156,7.09375,um,Surface,BoundingBoxOO Length,1,358,
2.00331,9.39844,11.1016,um,Surface,BoundingBoxOO Length,1,359,
2.00373,8.92188,10.2734,um,Surface,BoundingBoxOO Length,1,360,
2.00118,11.0938,15.9688,um,Surface,BoundingBoxOO Length,1,361,
2.00394,7.00781,8.51563,um,Surface,BoundingBoxOO Length,1,362,
2.0016,8.66406,10.3125,um,Surface,BoundingBoxOO Length,1,363,
2.00096,14.3906,18.9102,um,Surface,BoundingBoxOO Length,1,364,
2.00734,4.96875,7.24219,um,Surface,BoundingBoxOO Length,1,365,
2.0061,6.76953,7.75781,um,Surface,BoundingBoxOO Length,1,366,
2.00116,10.5234,13.3125,um,Surface,BoundingBoxOO Length,1,367,
2.00143,5.94531,7.75781,um,Surface,BoundingBoxOO Length,1,368,
2.00144,5.35156,9.75195,um,Surface,BoundingBoxOO Length,1,369,
2.00041,9.63281,11.582,um,Surface,BoundingBoxOO Length,1,370,
2.00402,7.92969,9.37109,um,Surface,BoundingBoxOO Length,1,371,
2.00201,5.78906,7.42969,um,Surface,BoundingBoxOO Length,1,372,
2.00128,10,12.9297,um,Surface,BoundingBoxOO Length,1,373,
2.00441,7.67969,8.14063,um,Surface,BoundingBoxOO Length,1,374,
2.00248,7.64453,11.8984,um,Surface,BoundingBoxOO Length,1,375,
2.00188,7.35938,15.4375,um,Surface,BoundingBoxOO Length,1,376,
2.00333,9.36719,14.6641,um,Surface,BoundingBoxOO Length,1,377,
2.00165,5.64063,7.10938,um,Surface,BoundingBoxOO Length,1,378,
2.00122,8.03125,9.96875,um,Surface,BoundingBoxOO Length,1,379,
2.00581,4.83594,8.66406,um,Surface,BoundingBoxOO Length,1,380,
2.00134,14.6563,24,um,Surface,BoundingBoxOO Length,1,381,
2.00203,8.13281,15.0391,um,Surface,BoundingBoxOO Length,1,382,
2.00449,5.20508,7.34375,um,Surface,BoundingBoxOO Length,1,383,
2.00416,6.75781,10.8516,um,Surface,BoundingBoxOO Length,1,384,
2.00069,5.97461,8.53906,um,Surface,BoundingBoxOO Length,1,385,
2.00498,4.22656,5.42383,um,Surface,BoundingBoxOO Length,1,386,
2.00082,13.9531,17.5859,um,Surface,BoundingBoxOO Length,1,387,
2.0011,11.7266,14.5859,um,Surface,BoundingBoxOO Length,1,388,
2.00197,14,18.5762,um,Surface,BoundingBoxOO Length,1,389,
2.00218,6.16406,7.75781,um,Surface,BoundingBoxOO Length,1,390,
2.0008,9.35352,16.5547,um,Surface,BoundingBoxOO Length,1,391,
2.00085,6.84375,9.15625,um,Surface,BoundingBoxOO Length,1,392,
2.0014,8.82813,11.0195,um,Surface,BoundingBoxOO Length,1,393,
2.00264,6.58594,10.2969,um,Surface,BoundingBoxOO Length,1,394,
2.00007,5.89063,8.28516,um,Surface,BoundingBoxOO Length,1,395,
2.00125,5.76172,8.14063,um,Surface,BoundingBoxOO Length,1,396,
2.00198,15.2227,20.4766,um,Surface,BoundingBoxOO Length,1,397,
2.00773,4.74219,7,um,Surface,BoundingBoxOO Length,1,398,
2.00364,6.10742,16.5703,um,Surface,BoundingBoxOO Length,1,399,
2.01084,4.49219,5.33594,um,Surface,BoundingBoxOO Length,1,400,
2.00534,6.29688,8.24219,um,Surface,BoundingBoxOO Length,1,401,
2.00387,4.98438,7.40625,um,Surface,BoundingBoxOO Length,1,402,
2.00304,8.40625,15.8203,um,Surface,BoundingBoxOO Length,1,403,
2.00197,8.25781,13.9922,um,Surface,BoundingBoxOO Length,1,404,
2.00555,5.30273,6.20313,um,Surface,BoundingBoxOO Length,1,405,
2.00335,7.78125,11.041,um,Surface,BoundingBoxOO Length,1,406,
2.0008,7.08594,12.8984,um,Surface,BoundingBoxOO Length,1,407,
2.00576,6.65625,8.09375,um,Surface,BoundingBoxOO Length,1,408,
2.00267,5.75977,8.16406,um,Surface,BoundingBoxOO Length,1,409,
2.00113,12.9844,29.5977,um,Surface,BoundingBoxOO Length,1,410,
2.00171,5.90625,7.80469,um,Surface,BoundingBoxOO Length,1,411,
2.00264,8.82813,15.9375,um,Surface,BoundingBoxOO Length,1,412,
2.00671,5.23438,6.74219,um,Surface,BoundingBoxOO Length,1,413,
2.00223,14.9844,20.1758,um,Surface,BoundingBoxOO Length,1,414,
2.00775,5.4375,6.52734,um,Surface,BoundingBoxOO Length,1,415,
2.00578,5.84375,6.96875,um,Surface,BoundingBoxOO Length,1,416,
2.00082,5.15625,10.4453,um,Surface,BoundingBoxOO Length,1,417,
2.00272,7.92969,10.2031,um,Surface,BoundingBoxOO Length,1,418,
2.00637,5.86719,7.39063,um,Surface,BoundingBoxOO Length,1,419,
2.00202,11.7461,15.6875,um,Surface,BoundingBoxOO Length,1,420,
2.00225,7.34375,12.5508,um,Surface,BoundingBoxOO Length,1,421,
2.00321,7.97656,10.4609,um,Surface,BoundingBoxOO Length,1,422,
2.0011,7.54688,12.5508,um,Surface,BoundingBoxOO Length,1,423,
2.00628,6.57422,17.5156,um,Surface,BoundingBoxOO Length,1,424,
2.00049,7.11719,10.25,um,Surface,BoundingBoxOO Length,1,425,
2.00101,11.0859,12.6797,um,Surface,BoundingBoxOO Length,1,426,
2.00524,7.65625,8.45703,um,Surface,BoundingBoxOO Length,1,427,
