
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,ID,
0.707244,-0.70697,8.42402e-12,um,Surface,Ellipsoid Axis B,1,349,
-0.887848,-0.460136,-3.44267e-11,um,Surface,Ellipsoid Axis B,1,350,
-0.879942,-0.475081,-1.84332e-12,um,Surface,Ellipsoid Axis B,1,351,
-0.986931,0.161144,-3.93826e-11,um,Surface,Ellipsoid Axis B,1,352,
0.598293,0.801278,1.68559e-11,um,Surface,Ellipsoid Axis B,1,353,
0.407583,-0.913168,3.6984e-12,um,Surface,Ellipsoid Axis B,1,354,
0.358731,0.933441,3.53456e-12,um,Surface,Ellipsoid Axis B,1,355,
-0.149468,0.988767,2.03227e-12,um,Surface,Ellipsoid Axis B,1,356,
0.907296,-0.420493,-2.44277e-11,um,Surface,Ellipsoid Axis B,1,357,
0.967897,-0.251345,-5.77097e-12,um,Surface,Ellipsoid Axis B,1,358,
0.915321,-0.402724,4.91299e-13,um,Surface,Ellipsoid Axis B,1,359,
-0.983264,-0.182185,1.81629e-12,um,Surface,Ellipsoid Axis B,1,360,
0.978177,-0.207773,-3.53956e-11,um,Surface,Ellipsoid Axis B,1,361,
-0.680986,-0.732297,6.20349e-11,um,Surface,Ellipsoid Axis B,1,362,
0.906946,-0.421247,-1.54723e-12,um,Surface,Ellipsoid Axis B,1,363,
0.999743,0.0226624,2.54651e-11,um,Surface,Ellipsoid Axis B,1,364,
0.847077,-0.531471,-1.07607e-11,um,Surface,Ellipsoid Axis B,1,365,
0.782673,-0.622433,-2.45336e-11,um,Surface,Ellipsoid Axis B,1,366,
0.868923,-0.494947,-2.99915e-12,um,Surface,Ellipsoid Axis B,1,367,
-0.310274,-0.950647,1.00949e-11,um,Surface,Ellipsoid Axis B,1,368,
-0.99946,-0.0328597,5.6103e-12,um,Surface,Ellipsoid Axis B,1,369,
-0.993006,-0.118067,-1.84931e-11,um,Surface,Ellipsoid Axis B,1,370,
-0.986801,0.16194,-3.51336e-12,um,Surface,Ellipsoid Axis B,1,371,
-0.894347,0.447374,-1.21479e-11,um,Surface,Ellipsoid Axis B,1,372,
0.999338,-0.0363711,-1.53954e-11,um,Surface,Ellipsoid Axis B,1,373,
0.8275,-0.561465,-1.27128e-11,um,Surface,Ellipsoid Axis B,1,374,
0.450355,-0.89285,2.88127e-12,um,Surface,Ellipsoid Axis B,1,375,
-0.918077,-0.396403,-4.70258e-11,um,Surface,Ellipsoid Axis B,1,376,
0.467215,0.884144,1.32458e-11,um,Surface,Ellipsoid Axis B,1,377,
-0.66973,0.742605,5.07456e-12,um,Surface,Ellipsoid Axis B,1,378,
-0.243183,-0.96998,-1.11642e-11,um,Surface,Ellipsoid Axis B,1,379,
-0.752188,-0.658948,-2.81695e-11,um,Surface,Ellipsoid Axis B,1,380,
0.999682,-0.0252159,2.55316e-11,um,Surface,Ellipsoid Axis B,1,381,
-0.271651,-0.962396,-3.04205e-12,um,Surface,Ellipsoid Axis B,1,382,
-0.0165755,0.999863,8.13023e-14,um,Surface,Ellipsoid Axis B,1,383,
0.889762,-0.456424,1.87245e-12,um,Surface,Ellipsoid Axis B,1,384,
-0.442984,0.89653,2.29912e-11,um,Surface,Ellipsoid Axis B,1,385,
-0.986271,-0.165137,1.94748e-11,um,Surface,Ellipsoid Axis B,1,386,
0.834304,-0.551304,-1.32631e-12,um,Surface,Ellipsoid Axis B,1,387,
-0.922757,0.385382,4.36722e-12,um,Surface,Ellipsoid Axis B,1,388,
0.968149,0.250376,-2.445e-11,um,Surface,Ellipsoid Axis B,1,389,
0.857221,-0.514948,-7.03561e-11,um,Surface,Ellipsoid Axis B,1,390,
0.361608,-0.93233,-2.17881e-11,um,Surface,Ellipsoid Axis B,1,391,
-0.0286996,-0.999588,-2.37322e-12,um,Surface,Ellipsoid Axis B,1,392,
0.995739,0.0922179,1.36941e-11,um,Surface,Ellipsoid Axis B,1,393,
0.893591,-0.448883,3.05986e-12,um,Surface,Ellipsoid Axis B,1,394,
0.99549,0.0948616,-3.75799e-12,um,Surface,Ellipsoid Axis B,1,395,
0.0215262,-0.999768,3.36508e-12,um,Surface,Ellipsoid Axis B,1,396,
0.798212,-0.602376,8.4413e-12,um,Surface,Ellipsoid Axis B,1,397,
