
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,ID,
6.98438,11.3555,2,um,Surface,BoundingBoxAA Length,1,417,
8.73438,10.4805,2,um,Surface,BoundingBoxAA Length,1,418,
6.98438,6.98828,2,um,Surface,BoundingBoxAA Length,1,419,
13.9688,16.5938,2,um,Surface,BoundingBoxAA Length,1,420,
7.85938,13.1016,2,um,Surface,BoundingBoxAA Length,1,421,
10.4766,7.85938,2,um,Surface,BoundingBoxAA Length,1,422,
10.4766,12.2305,2,um,Surface,BoundingBoxAA Length,1,423,
18.3359,7.85938,2,um,Surface,BoundingBoxAA Length,1,424,
8.73438,11.3555,2,um,Surface,BoundingBoxAA Length,1,425,
13.1016,13.9766,2,um,Surface,BoundingBoxAA Length,1,426,
7.85938,8.73438,2,um,Surface,BoundingBoxAA Length,1,427,
