
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,ID,
102692,34688,0.5,um,Surface,2,Center of Image Mass,Image 1,1,349,
102542,34843.1,0.5,um,Surface,2,Center of Image Mass,Image 1,1,350,
102617,34740.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,351,
102634,34725.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,352,
102759,34615.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,353,
102623,34715.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,354,
102542,34814.4,0.5,um,Surface,2,Center of Image Mass,Image 1,1,355,
102615,34728.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,356,
102510,34836.7,0.5,um,Surface,2,Center of Image Mass,Image 1,1,357,
102552,34799.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,358,
102809,34487.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,359,
102816,34482.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,360,
102465,34838,0.5,um,Surface,2,Center of Image Mass,Image 1,1,361,
102643,34655,0.5,um,Surface,2,Center of Image Mass,Image 1,1,362,
102805,34504.7,0.5,um,Surface,2,Center of Image Mass,Image 1,1,363,
102634,34668.7,0.5,um,Surface,2,Center of Image Mass,Image 1,1,364,
102711,34514.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,365,
102684,34547.4,0.5,um,Surface,2,Center of Image Mass,Image 1,1,366,
102770,34477.7,0.5,um,Surface,2,Center of Image Mass,Image 1,1,367,
102804,34441.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,368,
102647,34378.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,369,
102658,34394.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,370,
102734,34329.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,371,
102668,34402.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,372,
102797,34314.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,373,
102717,34405.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,374,
102664,34282.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,375,
102653,34351.1,0.5,um,Surface,2,Center of Image Mass,Image 1,1,376,
102700,34216.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,377,
102662,34257.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,378,
102693,34238.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,379,
102660,34053.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,380,
102698,34041.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,381,
102707,34059.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,382,
102663,34123.4,0.5,um,Surface,2,Center of Image Mass,Image 1,1,383,
102325,33791.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,384,
102335,33791.1,0.5,um,Surface,2,Center of Image Mass,Image 1,1,385,
102299,33831.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,386,
102324,33823,0.5,um,Surface,2,Center of Image Mass,Image 1,1,387,
102365,33797.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,388,
102350,33750.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,389,
102299,33799.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,390,
102314,33801.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,391,
102278,33832.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,392,
102292,33735.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,393,
102303,33774.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,394,
102338,33742.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,395,
102291,33622.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,396,
102301,33630.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,397,
102214,33737.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,398,
102241,33723.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,399,
102312,33672.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,400,
102262,33732.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,401,
102239,33756.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,402,
