
Center of Homogeneous Mass
 ==================== 
Center of Homogeneous Mass X,Center of Homogeneous Mass Y,Center of Homogeneous Mass Z,Unit,Category,Collection,Time,ID,
102875,34824.6,0.5,um,Surface,Center of Homogeneous Mass,1,314,
102906,34705.8,0.5,um,Surface,Center of Homogeneous Mass,1,315,
102475,35142.3,0.5,um,Surface,Center of Homogeneous Mass,1,316,
102609,35012.2,0.5,um,Surface,Center of Homogeneous Mass,1,317,
102514,35138.9,0.5,um,Surface,Center of Homogeneous Mass,1,318,
102466,35127.9,0.5,um,Surface,Center of Homogeneous Mass,1,319,
102605,34993.2,0.5,um,Surface,Center of Homogeneous Mass,1,320,
102689,34878.3,0.5,um,Surface,Center of Homogeneous Mass,1,321,
102896,34654.9,0.5,um,Surface,Center of Homogeneous Mass,1,322,
102873,34684.1,0.5,um,Surface,Center of Homogeneous Mass,1,323,
102841,34717.9,0.5,um,Surface,Center of Homogeneous Mass,1,324,
102465,35097,0.5,um,Surface,Center of Homogeneous Mass,1,325,
102637,34897.6,0.5,um,Surface,Center of Homogeneous Mass,1,326,
102558,34959.6,0.5,um,Surface,Center of Homogeneous Mass,1,327,
102474,35052.8,0.5,um,Surface,Center of Homogeneous Mass,1,328,
102483,35046.8,0.5,um,Surface,Center of Homogeneous Mass,1,329,
102864,34666.4,0.5,um,Surface,Center of Homogeneous Mass,1,330,
102667,34811.1,0.5,um,Surface,Center of Homogeneous Mass,1,331,
102691,34787.5,0.5,um,Surface,Center of Homogeneous Mass,1,332,
102530,34962.4,0.5,um,Surface,Center of Homogeneous Mass,1,333,
102531,34893.6,0.5,um,Surface,Center of Homogeneous Mass,1,334,
102467,34958.3,0.5,um,Surface,Center of Homogeneous Mass,1,335,
102753,34684.2,0.5,um,Surface,Center of Homogeneous Mass,1,336,
102707,34745.4,0.5,um,Surface,Center of Homogeneous Mass,1,337,
102486,34965.7,0.5,um,Surface,Center of Homogeneous Mass,1,338,
102828,34634.3,0.5,um,Surface,Center of Homogeneous Mass,1,339,
102701,34701.9,0.5,um,Surface,Center of Homogeneous Mass,1,340,
102611,34794.4,0.5,um,Surface,Center of Homogeneous Mass,1,341,
102709,34702.5,0.5,um,Surface,Center of Homogeneous Mass,1,342,
102520,34897,0.5,um,Surface,Center of Homogeneous Mass,1,343,
102506,34913.8,0.5,um,Surface,Center of Homogeneous Mass,1,344,
102521,34851.3,0.5,um,Surface,Center of Homogeneous Mass,1,345,
102616,34758.1,0.5,um,Surface,Center of Homogeneous Mass,1,346,
102603,34770,0.5,um,Surface,Center of Homogeneous Mass,1,347,
102530,34847.7,0.5,um,Surface,Center of Homogeneous Mass,1,348,
102692,34688.1,0.5,um,Surface,Center of Homogeneous Mass,1,349,
102542,34843.4,0.5,um,Surface,Center of Homogeneous Mass,1,350,
102616,34740.4,0.5,um,Surface,Center of Homogeneous Mass,1,351,
102634,34725.5,0.5,um,Surface,Center of Homogeneous Mass,1,352,
102759,34616.5,0.5,um,Surface,Center of Homogeneous Mass,1,353,
102623,34715.8,0.5,um,Surface,Center of Homogeneous Mass,1,354,
102543,34813.1,0.5,um,Surface,Center of Homogeneous Mass,1,355,
102615,34728.3,0.5,um,Surface,Center of Homogeneous Mass,1,356,
102511,34836.7,0.5,um,Surface,Center of Homogeneous Mass,1,357,
102552,34800.2,0.5,um,Surface,Center of Homogeneous Mass,1,358,
102809,34487.8,0.5,um,Surface,Center of Homogeneous Mass,1,359,
102816,34482.7,0.5,um,Surface,Center of Homogeneous Mass,1,360,
102465,34838,0.5,um,Surface,Center of Homogeneous Mass,1,361,
102643,34655.1,0.5,um,Surface,Center of Homogeneous Mass,1,362,
102805,34505,0.5,um,Surface,Center of Homogeneous Mass,1,363,
102634,34668.5,0.5,um,Surface,Center of Homogeneous Mass,1,364,
102711,34514.4,0.5,um,Surface,Center of Homogeneous Mass,1,365,
102684,34547.5,0.5,um,Surface,Center of Homogeneous Mass,1,366,
102770,34477.7,0.5,um,Surface,Center of Homogeneous Mass,1,367,
102804,34442,0.5,um,Surface,Center of Homogeneous Mass,1,368,
102647,34378.4,0.5,um,Surface,Center of Homogeneous Mass,1,369,
102658,34394.4,0.5,um,Surface,Center of Homogeneous Mass,1,370,
102734,34329.6,0.5,um,Surface,Center of Homogeneous Mass,1,371,
102668,34402.6,0.5,um,Surface,Center of Homogeneous Mass,1,372,
102796,34314.6,0.5,um,Surface,Center of Homogeneous Mass,1,373,
102717,34405.3,0.5,um,Surface,Center of Homogeneous Mass,1,374,
102665,34282.4,0.5,um,Surface,Center of Homogeneous Mass,1,375,
102654,34350.7,0.5,um,Surface,Center of Homogeneous Mass,1,376,
102699,34217.1,0.5,um,Surface,Center of Homogeneous Mass,1,377,
102662,34257.8,0.5,um,Surface,Center of Homogeneous Mass,1,378,
102693,34238.4,0.5,um,Surface,Center of Homogeneous Mass,1,379,
102660,34053.5,0.5,um,Surface,Center of Homogeneous Mass,1,380,
102698,34041.8,0.5,um,Surface,Center of Homogeneous Mass,1,381,
102707,34059.8,0.5,um,Surface,Center of Homogeneous Mass,1,382,
102663,34123.3,0.5,um,Surface,Center of Homogeneous Mass,1,383,
102325,33790.9,0.5,um,Surface,Center of Homogeneous Mass,1,384,
102335,33791.1,0.5,um,Surface,Center of Homogeneous Mass,1,385,
102299,33831.4,0.5,um,Surface,Center of Homogeneous Mass,1,386,
102324,33823.2,0.5,um,Surface,Center of Homogeneous Mass,1,387,
102364,33797,0.5,um,Surface,Center of Homogeneous Mass,1,388,
102350,33751.2,0.5,um,Surface,Center of Homogeneous Mass,1,389,
102300,33800.2,0.5,um,Surface,Center of Homogeneous Mass,1,390,
102313,33801,0.5,um,Surface,Center of Homogeneous Mass,1,391,
102278,33833,0.5,um,Surface,Center of Homogeneous Mass,1,392,
102292,33736,0.5,um,Surface,Center of Homogeneous Mass,1,393,
102303,33775.1,0.5,um,Surface,Center of Homogeneous Mass,1,394,
102338,33742.7,0.5,um,Surface,Center of Homogeneous Mass,1,395,
102291,33622.7,0.5,um,Surface,Center of Homogeneous Mass,1,396,
102301,33629.6,0.5,um,Surface,Center of Homogeneous Mass,1,397,
102214,33737.7,0.5,um,Surface,Center of Homogeneous Mass,1,398,
102242,33724.2,0.5,um,Surface,Center of Homogeneous Mass,1,399,
102312,33672.5,0.5,um,Surface,Center of Homogeneous Mass,1,400,
102262,33732.3,0.5,um,Surface,Center of Homogeneous Mass,1,401,
102239,33756.5,0.5,um,Surface,Center of Homogeneous Mass,1,402,
102315,33585.6,0.5,um,Surface,Center of Homogeneous Mass,1,403,
102213,33702.4,0.5,um,Surface,Center of Homogeneous Mass,1,404,
102274,33553.2,0.5,um,Surface,Center of Homogeneous Mass,1,405,
102295,33541.1,0.5,um,Surface,Center of Homogeneous Mass,1,406,
102313,33535.5,0.5,um,Surface,Center of Homogeneous Mass,1,407,
102321,33524.7,0.5,um,Surface,Center of Homogeneous Mass,1,408,
102291,33565.5,0.5,um,Surface,Center of Homogeneous Mass,1,409,
102267,33476.1,0.5,um,Surface,Center of Homogeneous Mass,1,410,
102288,33448.9,0.5,um,Surface,Center of Homogeneous Mass,1,411,
102327,33432.4,0.5,um,Surface,Center of Homogeneous Mass,1,412,
102293,33496.6,0.5,um,Surface,Center of Homogeneous Mass,1,413,
102320,33375.9,0.5,um,Surface,Center of Homogeneous Mass,1,414,
102294,33394,0.5,um,Surface,Center of Homogeneous Mass,1,415,
102351,33341.8,0.5,um,Surface,Center of Homogeneous Mass,1,416,
102339,33369.9,0.5,um,Surface,Center of Homogeneous Mass,1,417,
102333,33378.6,0.5,um,Surface,Center of Homogeneous Mass,1,418,
102348,33322.8,0.5,um,Surface,Center of Homogeneous Mass,1,419,
102307,33374.5,0.5,um,Surface,Center of Homogeneous Mass,1,420,
102318,33287.3,0.5,um,Surface,Center of Homogeneous Mass,1,421,
102325,33286.1,0.5,um,Surface,Center of Homogeneous Mass,1,422,
102313,33309.7,0.5,um,Surface,Center of Homogeneous Mass,1,423,
102292,33356,0.5,um,Surface,Center of Homogeneous Mass,1,424,
102336,33318.6,0.5,um,Surface,Center of Homogeneous Mass,1,425,
102294,33369.1,0.5,um,Surface,Center of Homogeneous Mass,1,426,
102333,33325.6,0.5,um,Surface,Center of Homogeneous Mass,1,427,
